NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.028271057,0.047082163,0.00023175978
2,-12.0,0.5714286,8.0,-0.024640962,0.050448854,6.6889015e-06
3,-12.0,1.1428572,8.0,-0.010396632,0.04758479,-0.00011228493
4,-12.0,1.7142857,8.0,-0.006676319,0.049781196,-3.0953244e-05
5,-12.0,2.2857144,8.0,0.007728698,0.048408464,-0.00023267626
6,-12.0,2.857143,8.0,0.011668539,0.04921633,-0.00014625899
7,-12.0,3.4285715,8.0,0.026387706,0.049139638,-0.0002291608
8,-12.0,4.0,8.0,0.0303995,0.0485869,-0.00042616396
9,-12.0,0.0,7.3846154,-0.028066142,0.046830542,-1.7267941e-05
10,-12.0,0.5714286,7.3846154,-0.024535382,0.050513145,4.3431126e-05
11,-12.0,1.1428572,7.3846154,-0.010010806,0.047424607,1.5237711e-05
12,-12.0,1.7142857,7.3846154,-0.006625567,0.049766306,-8.5871914e-05
13,-12.0,2.2857144,7.3846154,0.008080915,0.048308633,-7.0408925e-05
14,-12.0,2.857143,7.3846154,0.011731105,0.049164,-0.00015585596
15,-12.0,3.4285715,7.3846154,0.026612278,0.049057536,-0.00014578701
16,-12.0,4.0,7.3846154,0.030509602,0.048568517,-6.819072e-05
17,-12.0,0.0,6.769231,-0.027657203,0.04671922,0.00016765951
18,-12.0,0.5714286,6.769231,-0.024474429,0.050525278,7.528765e-05
19,-12.0,1.1428572,6.769231,-0.009774034,0.047294516,3.7601945e-05
20,-12.0,1.7142857,6.769231,-0.0065406794,0.049742248,1.5860505e-05
21,-12.0,2.2857144,6.769231,0.00831164,0.048195027,-4.7137903e-05
22,-12.0,2.857143,6.769231,0.011753898,0.049072113,-6.341358e-05
23,-12.0,3.4285715,6.769231,0.026871536,0.048980135,-0.00016470425
24,-12.0,4.0,6.769231,0.03045113,0.048429616,-0.00033641947
25,-12.0,0.0,6.1538463,-0.027669853,0.046684325,0.00013019572
26,-12.0,0.5714286,6.1538463,-0.02439167,0.050441835,0.00011492057
27,-12.0,1.1428572,6.1538463,-0.00966593,0.047269586,7.848298e-05
28,-12.0,1.7142857,6.1538463,-0.006492518,0.04965818,4.3268526e-05
29,-12.0,2.2857144,6.1538463,0.008407344,0.0481325,1.2070235e-05
30,-12.0,2.857143,6.1538463,0.011825536,0.04899356,-4.8401853e-05
31,-12.0,3.4285715,6.1538463,0.0269306,0.04889409,-3.992171e-05
32,-12.0,4.0,6.1538463,0.030581756,0.04836849,-2.1500373e-05
33,-12.0,0.0,5.5384617,-0.027575184,0.04664647,0.0001134406
34,-12.0,0.5714286,5.5384617,-0.02435412,0.050457537,9.658589e-05
35,-12.0,1.1428572,5.5384617,-0.009660025,0.04718788,8.443214e-05
36,-12.0,1.7142857,5.5384617,-0.006433973,0.04964001,4.429484e-05
37,-12.0,2.2857144,5.5384617,0.008423527,0.048058137,1.9608719e-05
38,-12.0,2.857143,5.5384617,0.011871495,0.04895008,-2.168974e-06
39,-12.0,3.4285715,5.5384617,0.026967492,0.04881367,-8.429233e-05
40,-12.0,4.0,5.5384617,0.030569436,0.048300687,-0.0001946173
41,-12.0,0.0,4.923077,-0.027608458,0.046625458,8.9787376e-05
42,-12.0,0.5714286,4.923077,-0.024329823,0.05042213,6.42441e-05
43,-12.0,1.1428572,4.923077,-0.009637167,0.047169823,3.7962127e-05
44,-12.0,1.7142857,4.923077,-0.0064243693,0.04960922,3.5556546e-05
45,-12.0,2.2857144,4.923077,0.008441034,0.048017316,1.1296226e-05
46,-12.0,2.857143,4.923077,0.011886946,0.048916668,-1.5670012e-05
47,-12.0,3.4285715,4.923077,0.026963681,0.048760127,1.51487575e-05
48,-12.0,4.0,4.923077,0.030603243,0.048261624,4.2477168e-05
49,-12.0,0.0,4.3076925,-0.027586604,0.046620004,-7.2564035e-06
