StepTime,RF2_N
0.0,-0.0
0.0024999999441206455,0.11958711594343185
0.004999999888241291,0.012870236299932003
0.008750000037252903,0.0012543781194835901
0.014375000260770321,0.00012346736912149936
0.022812500596046448,2.3221393348649144e-05
0.035468749701976776,10.4730863571167
0.05000000074505806,25.780067443847656
0.07179687172174454,48.72895812988281
0.10000000149011612,78.40177154541016
0.15000000596046448,130.9490966796875
0.20000000298023224,183.4235076904297
0.25,235.82508850097656
0.30000001192092896,288.15423583984375
0.3499999940395355,340.411376953125
0.4000000059604645,392.5970764160156
0.44999998807907104,444.7119445800781
0.5,496.7566833496094
0.550000011920929,548.7320556640625
0.6000000238418579,600.6387329101562
0.6499999761581421,652.4774780273438
0.699999988079071,704.2489013671875
0.75,755.9535522460938
0.800000011920929,807.5919189453125
0.8500000238418579,859.164306640625
0.8999999761581421,912.7222900390625
0.949999988079071,969.717529296875
1.0,1027.732666015625
