StepTime,U2_mm,RF2_N
0.0,0.0,-0.0
0.0024999999441206455,-0.0005000000237487257,-0.22424256801605225
0.004999999888241291,-0.0010000000474974513,-0.02439991757273674
0.008750000037252903,-0.0017500000540167093,-0.002330369781702757
0.014375000260770321,-0.0028750000055879354,-0.00023191711807157844
0.022812500596046448,-0.004562499932944775,-4.3084022763650864e-05
0.035468749701976776,-0.007093749940395355,-20.08647346496582
0.05000000074505806,-0.009999999776482582,-49.444488525390625
0.07179687172174454,-0.014359375461935997,-93.46035766601562
0.10000000149011612,-0.019999999552965164,-150.3747100830078
0.15000000596046448,-0.029999999329447746,-251.1696319580078
0.20000000298023224,-0.03999999910593033,-351.831787109375
0.25,-0.05000000074505806,-452.3616027832031
0.30000001192092896,-0.05999999865889549,-552.760009765625
0.3499999940395355,-0.07000000029802322,-653.0280151367188
0.4000000059604645,-0.07999999821186066,-753.1670532226562
0.44999998807907104,-0.09000000357627869,-853.1785278320312
0.5,-0.10000000149011612,-953.0640258789062
0.550000011920929,-0.10999999940395355,-1052.8253173828125
0.6000000238418579,-0.11999999731779099,-1152.4638671875
0.6499999761581421,-0.12999999523162842,-1251.9813232421875
0.699999988079071,-0.14000000059604645,-1351.3790283203125
0.75,-0.15000000596046448,-1450.6583251953125
0.800000011920929,-0.1599999964237213,-1549.820068359375
0.8500000238418579,-0.17000000178813934,-1648.86474609375
0.8999999761581421,-0.18000000715255737,-1747.79248046875
0.949999988079071,-0.1899999976158142,-1853.643798828125
1.0,-0.20000000298023224,-1963.2427978515625
