NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
81,-12.0,0.0,1.8461539,-0.029508872,0.05054076,-0.00011652176
82,-12.0,0.5714286,1.8461539,-0.025421819,0.05397477,-0.00010795075
83,-12.0,1.1428572,1.8461539,-0.010588059,0.051074456,-7.74892e-05
84,-12.0,1.7142857,1.8461539,-0.0066005234,0.05323099,-4.828543e-05
85,-12.0,2.2857144,1.8461539,0.008421591,0.051877648,-2.3613742e-05
86,-12.0,2.857143,1.8461539,0.01265068,0.052582532,2.9438508e-05
87,-12.0,3.4285715,1.8461539,0.027846623,0.05256146,1.9615016e-05
88,-12.0,4.0,1.8461539,0.032285262,0.05196784,1.5541889e-06
89,-12.0,0.0,1.2307693,-0.029526038,0.05054284,-0.00014907015
90,-12.0,0.5714286,1.2307693,-0.025532125,0.054075584,-6.601874e-05
91,-12.0,1.1428572,1.2307693,-0.01072661,0.051065955,-3.531263e-05
92,-12.0,1.7142857,1.2307693,-0.0066778287,0.05332776,-2.039196e-05
93,-12.0,2.2857144,1.2307693,0.008297135,0.051908545,3.45937e-05
94,-12.0,2.857143,1.2307693,0.012551303,0.05267112,4.5219473e-05
95,-12.0,3.4285715,1.2307693,0.02775775,0.05261805,0.00013410997
96,-12.0,4.0,1.2307693,0.032127768,0.05203612,0.00028667576
97,-12.0,0.0,0.61538464,-0.029954968,0.05060398,3.0605584e-05
98,-12.0,0.5714286,0.61538464,-0.025620528,0.054088995,-3.6595608e-05
99,-12.0,1.1428572,0.61538464,-0.010982878,0.051150303,-1.2863227e-05
100,-12.0,1.7142857,0.61538464,-0.00678977,0.053372968,7.7347024e-05
101,-12.0,2.2857144,0.61538464,0.008042984,0.051980052,5.7497862e-05
102,-12.0,2.857143,0.61538464,0.012498495,0.052778415,0.00013281999
103,-12.0,3.4285715,0.61538464,0.027475558,0.052656103,0.00011990456
104,-12.0,4.0,0.61538464,0.032154385,0.05218619,4.6138615e-05
105,-12.0,0.0,0.0,-0.030170986,0.05082413,-0.00021228957
106,-12.0,0.5714286,0.0,-0.02574621,0.054038372,-9.90272e-07
107,-12.0,1.1428572,0.0,-0.011384182,0.051280677,0.00011174366
108,-12.0,1.7142857,0.0,-0.006866603,0.053394612,2.7196571e-05
109,-12.0,2.2857144,0.0,0.0076748603,0.05205304,0.00021117849
110,-12.0,2.857143,0.0,0.01240851,0.052833643,0.000121164965
111,-12.0,3.4285715,0.0,0.027229425,0.052715186,0.00019468133
112,-12.0,4.0,0.0,0.032013666,0.052206475,0.0003711
113,-11.4,0.0,8.0,-0.034834925,0.044417035,9.245876e-05
114,-11.4,0.5714286,8.0,-0.020943267,0.041080326,0.00021903614
115,-11.4,1.1428572,8.0,-0.015970135,0.04377485,0.00022957391
116,-11.4,1.7142857,8.0,-0.0020554636,0.041641016,3.766948e-05
117,-11.4,2.2857144,8.0,0.0030458735,0.04299277,0.0001344088
118,-11.4,2.857143,8.0,0.017237296,0.04225867,-1.6996657e-05
119,-11.4,3.4285715,8.0,0.022590378,0.042305686,-1.6310876e-05
120,-11.4,4.0,8.0,0.0369132,0.04268021,9.85851e-05
121,-11.4,0.0,7.3846154,-0.03465985,0.04455906,0.0003537202
122,-11.4,0.5714286,7.3846154,-0.020629322,0.040912874,0.00020817824
123,-11.4,1.1428572,7.3846154,-0.015869653,0.043793198,0.00015707474
124,-11.4,1.7142857,7.3846154,-0.0017297049,0.04154223,0.00016115222
125,-11.4,2.2857144,7.3846154,0.0031402295,0.04294583,6.4335705e-05
126,-11.4,2.857143,7.3846154,0.0175081,0.04219639,5.8373913e-05
127,-11.4,3.4285715,7.3846154,0.022647329,0.042234786,-4.0593557e-05
128,-11.4,4.0,7.3846154,0.037108317,0.042594474,-0.00023035493
129,-11.4,0.0,6.769231,-0.03463365,0.044507354,0.00020305216
130,-11.4,0.5714286,6.769231,-0.020368746,0.040834732,0.00021494999
131,-11.4,1.1428572,6.769231,-0.015788335,0.043772485,0.0001848879
132,-11.4,1.7142857,6.769231,-0.0014943798,0.041464727,0.00013141666
133,-11.4,2.2857144,6.769231,0.00318926,0.04287314,0.000108613356
134,-11.4,2.857143,6.769231,0.017735865,0.042144645,3.5231697e-05
135,-11.4,3.4285715,6.769231,0.02265877,0.042115938,3.0964267e-05
136,-11.4,4.0,6.769231,0.037368044,0.042586267,6.0509275e-05
137,-11.4,0.0,6.1538463,-0.03451585,0.044460665,0.00021846633
138,-11.4,0.5714286,6.1538463,-0.020285152,0.040852893,0.00018808719
139,-11.4,1.1428572,6.1538463,-0.015736219,0.04367217,0.0001623977
140,-11.4,1.7142857,6.1538463,-0.0014068681,0.041453127,0.00013033862
141,-11.4,2.2857144,6.1538463,0.0032513267,0.042782843,8.661068e-05
142,-11.4,2.857143,6.1538463,0.017811865,0.04210117,6.618691e-05
143,-11.4,3.4285715,6.1538463,0.022735717,0.042028874,-2.9428586e-05
144,-11.4,4.0,6.1538463,0.03741375,0.042517986,-0.00014868852
145,-11.4,0.0,5.5384617,-0.03451799,0.044443853,0.00017741014
146,-11.4,0.5714286,5.5384617,-0.020266216,0.040787186,0.00015233867
147,-11.4,1.1428572,5.5384617,-0.01568804,0.04367101,0.00011963686
148,-11.4,1.7142857,5.5384617,-0.0013926177,0.04139095,0.00010622395
149,-11.4,2.2857144,5.5384617,0.0032951722,0.042754386,7.5050986e-05
150,-11.4,2.857143,5.5384617,0.017838161,0.042039093,3.3679098e-05
151,-11.4,3.4285715,5.5384617,0.022765875,0.04198941,4.7883248e-05
152,-11.4,4.0,5.5384617,0.037451427,0.042459007,6.1638944e-05
153,-11.4,0.0,4.923077,-0.03447066,0.04444588,7.8233854e-05
154,-11.4,0.5714286,4.923077,-0.020257527,0.04078314,8.947908e-05
155,-11.4,1.1428572,4.923077,-0.015676182,0.043644372,8.578795e-05
