ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.25138938,-0.09169411,-0.2270848,-0.128243,-0.21425648,0.010445013
2,1,-0.5352469,1.1252415,0.037960935,-0.66762984,0.0024307535,0.034036063
3,1,0.080073945,1.2036457,-0.12348674,0.2884288,-0.08535715,0.015685106
4,1,0.23776542,1.9580156,0.03662343,-0.7434568,-0.042333774,0.075361095
5,1,-1.145926,2.0286574,0.00843356,0.70788944,0.025679188,0.11065755
6,1,0.6302261,1.0816941,-0.07677105,0.5441895,-0.070991285,0.10032982
7,1,0.055170022,0.36554673,-0.07562573,0.39576462,-0.037007704,0.054188233
8,1,0.84809077,-0.17524351,-0.32500097,-0.07326878,0.029962404,0.048574395
9,1,-0.47627726,1.0491917,-0.03707537,-0.6935513,-0.019967312,0.05984852
10,1,0.32182455,1.0868822,-0.11753972,0.3068317,0.043135114,0.08005903
11,1,0.5280217,1.9080174,0.14416596,-0.8640284,0.05629309,0.13836893
12,1,-1.2362651,1.9682316,0.053497814,0.6013278,0.037579075,0.18208069
13,1,0.91216666,1.025795,-0.11513416,0.3802334,0.021360453,0.17560713
14,1,-0.02198578,0.35290796,-0.38525483,0.31018114,-0.08872704,0.07756702
15,1,0.23971124,-0.15634859,-0.034281675,-0.13275824,0.200381,0.013095719
16,1,-0.34389696,1.0257789,0.21595971,-0.6965366,0.25039127,0.06488033
17,1,0.24683943,1.0423622,0.20859352,0.28870773,0.24153572,0.087235585
18,1,0.32621604,1.8233539,0.44680643,-0.9138828,0.2006239,0.10259063
19,1,-1.1196678,1.9384924,0.28743947,0.6094597,0.1551918,0.1229255
20,1,0.7139503,0.9867953,-0.043549184,0.3750763,0.10225133,0.11962059
21,1,0.16787037,0.36052215,-0.4769606,0.32057902,0.10289833,0.052077528
22,1,0.7448206,-0.1321024,0.48473808,-0.08039755,0.28011847,0.008606368
23,1,-0.704569,1.0678972,0.7721064,-0.71406627,0.25419194,0.02142254
24,1,0.111913234,1.0951071,0.700431,0.27463424,0.22855529,0.043790825
25,1,0.34489915,1.8703526,0.87933475,-0.86654955,0.20006646,0.058576398
26,1,-1.2990861,1.9445156,0.6299456,0.6087433,0.16604538,0.07311421
27,1,0.8271682,1.0016726,0.20251952,0.38735804,0.14014997,0.081152886
28,1,-0.14203,0.3490471,-0.35514122,0.32370207,0.14290532,0.04320669
29,1,0.06963999,-0.14720087,0.9292234,-0.1530269,0.14812456,-0.0050462205
30,1,-0.489396,1.1137269,1.1963958,-0.7196481,0.14105962,0.002813876
31,1,0.15137081,1.1521757,1.0973048,0.30685443,0.1439547,0.014972083
32,1,0.27044392,1.9125326,1.2325921,-0.8701589,0.13004407,0.026683645
33,1,-1.1898217,1.9747349,0.9322806,0.6400385,0.113608845,0.040055078
34,1,0.67956746,1.0107806,0.467986,0.39316243,0.11500011,0.05517971
35,1,0.12740494,0.36701223,-0.11028135,0.3220417,0.14856718,0.029360285
36,1,0.7847579,-0.11011004,1.136949,-0.08747687,0.06296015,0.00092558743
37,1,-0.6634357,1.1175708,1.4268628,-0.7098179,0.07154378,-0.00034707325
38,1,0.121322125,1.1679378,1.3229426,0.28141472,0.067597836,0.0029062845
39,1,0.32586804,1.9419107,1.4409156,-0.84014785,0.06538523,0.009635068
40,1,-1.2709013,1.9870552,1.1319736,0.6350078,0.06433228,0.019031374
41,1,0.7928894,1.0215694,0.66218895,0.39972267,0.063140064,0.027142895
42,1,-0.20262076,0.34760976,0.053463407,0.32649398,0.08049241,0.015926374
43,1,0.098988846,-0.14930014,1.2077959,-0.15651381,-0.00017397339,0.000109065004
44,1,-0.49224326,1.124829,1.4957712,-0.7275218,-5.7181904e-05,0.00028761418
45,1,0.14768806,1.1806056,1.3954828,0.30581218,-4.807711e-05,0.00038471998
46,1,0.27081847,1.9451872,1.5151287,-0.85514754,-2.4904486e-05,0.00042810556
47,1,-1.2032413,1.9942373,1.1998688,0.64811105,3.1126092e-05,0.00043070532
48,1,0.6739409,1.0213456,0.7299156,0.3985927,6.545734e-05,0.0003380621
49,1,0.114080325,0.3699096,0.14008923,0.32251036,0.00015110923,0.00014930124
50,1,0.78494614,-0.11022387,1.1369005,-0.087429605,-0.06311852,-0.0006913402
51,1,-0.66349506,1.1176467,1.4268506,-0.7099142,-0.07171158,0.00089733006
52,1,0.12125997,1.1678379,1.3228672,0.2815176,-0.06768913,-0.0021629934
53,1,0.3260614,1.9418957,1.4409218,-0.8402851,-0.06542437,-0.008800237
54,1,-1.2711381,1.9870229,1.1319729,0.6350407,-0.0642752,-0.018202616
55,1,0.7930693,1.0215503,0.6622317,0.3996792,-0.06300666,-0.02647908
56,1,-0.20271531,0.34760156,0.053449076,0.32648,-0.08020971,-0.015640607
57,1,0.06942924,-0.14744689,0.9291373,-0.15299796,-0.14844212,0.0052290927
58,1,-0.48939493,1.1138682,1.1963613,-0.7198556,-0.14115784,-0.0023096167
59,1,0.15129119,1.1519905,1.0971624,0.30708033,-0.1440424,-0.01430911
60,1,0.27077112,1.9124978,1.2326063,-0.8704477,-0.13008851,-0.025925517
61,1,-1.190269,1.9746778,0.93228555,0.6401127,-0.113546476,-0.039302442
62,1,0.679911,1.010747,0.46808246,0.39307117,-0.11487832,-0.05457409
63,1,0.12725045,0.36698762,-0.110299975,0.32201642,-0.14828418,-0.029098835
64,1,0.74538547,-0.13244066,0.48457938,-0.080256894,-0.28021935,-0.008448974
65,1,-0.70473427,1.06811,0.77208567,-0.7143578,-0.25431755,-0.021020316
66,1,0.11173859,1.0948256,0.7002264,0.27493116,-0.22861564,-0.04324395
67,1,0.345466,1.8703221,0.87937,-0.8669502,-0.20009391,-0.057947706
68,1,-1.2997838,1.944436,0.6299674,0.60884315,-0.16599324,-0.072487846
69,1,0.8276923,1.0016236,0.20267488,0.3872309,-0.14003704,-0.08064055
70,1,-0.14231491,0.34902605,-0.35513738,0.323664,-0.14266963,-0.042991146
71,1,0.23936489,-0.1568181,-0.03438886,-0.13268366,-0.20051555,-0.012990174
72,1,-0.34387952,1.0260923,0.2159568,-0.6969373,-0.25041652,-0.06459448
73,1,0.2466756,1.0420094,0.2083814,0.28918397,-0.24157237,-0.08684912
74,1,0.32687655,1.8233138,0.44687325,-0.91446084,-0.2006542,-0.10211332
75,1,-1.1205856,1.9384261,0.28746164,0.6096346,-0.15514106,-0.122461736
76,1,0.7146411,0.9867353,-0.043330207,0.3749039,-0.102181174,-0.11925411
77,1,0.16753475,0.36047477,-0.4769414,0.32053292,-0.102715306,-0.051912565
78,1,0.8487484,-0.1759405,-0.32527503,-0.073042214,-0.030124962,-0.04855428
79,1,-0.47660083,1.049651,-0.036904283,-0.69413334,0.019985136,-0.059694555
80,1,0.3214408,1.0864292,-0.11777395,0.3074743,-0.04315149,-0.079813965
81,1,0.5291191,1.9080428,0.14429423,-0.86472595,-0.056313492,-0.13807376
82,1,-1.2376457,1.9681245,0.053459678,0.60158324,-0.037575677,-0.18177795
83,1,0.91319174,1.0257477,-0.1149247,0.38003254,-0.021346083,-0.1754036
84,1,-0.022525188,0.35288808,-0.38522756,0.31011635,0.08880081,-0.07748939
85,1,0.2514423,-0.09241726,-0.2273214,-0.12805952,0.21444134,-0.010428914
86,1,-0.53540516,1.1258646,0.0381655,-0.6682187,-0.0025683676,-0.034012724
87,1,0.079766765,1.2032058,-0.12366274,0.2891652,0.085398324,-0.015588075
88,1,0.23878914,1.9580923,0.036740005,-0.7442499,0.04232584,-0.075255334
89,1,-1.147287,2.0285091,0.008369381,0.70823765,-0.025701597,-0.11055915
90,1,0.6313545,1.0815715,-0.076673366,0.54396665,0.0709898,-0.10024788
91,1,0.054697957,0.36545074,-0.07562218,0.39571074,0.03700093,-0.054187544
92,1,0.47053894,1.2308948,0.5989486,-0.8072344,0.05974273,0.04004982
93,1,-0.41312894,-0.95638,-0.35803393,0.23827647,-0.20297928,0.0014968329
94,1,-0.24625741,0.9893022,0.33084306,-1.9399647,0.0036903892,0.052256465
95,1,-0.45054218,0.2374609,0.040814534,1.1612322,0.062362514,0.036636177
