NodeLabel,X_mm,Y_mm,Z_mm
178,-11.4,0.5714286,3.0769231
179,-11.4,1.1428572,3.0769231
180,-11.4,1.7142857,3.0769231
181,-11.4,2.2857144,3.0769231
182,-11.4,2.857143,3.0769231
183,-11.4,3.4285715,3.0769231
184,-11.4,4.0,3.0769231
185,-11.4,0.0,2.4615386
186,-11.4,0.5714286,2.4615386
187,-11.4,1.1428572,2.4615386
188,-11.4,1.7142857,2.4615386
189,-11.4,2.2857144,2.4615386
190,-11.4,2.857143,2.4615386
191,-11.4,3.4285715,2.4615386
192,-11.4,4.0,2.4615386
193,-11.4,0.0,1.8461539
194,-11.4,0.5714286,1.8461539
195,-11.4,1.1428572,1.8461539
196,-11.4,1.7142857,1.8461539
197,-11.4,2.2857144,1.8461539
198,-11.4,2.857143,1.8461539
199,-11.4,3.4285715,1.8461539
200,-11.4,4.0,1.8461539
201,-11.4,0.0,1.2307693
202,-11.4,0.5714286,1.2307693
203,-11.4,1.1428572,1.2307693
204,-11.4,1.7142857,1.2307693
205,-11.4,2.2857144,1.2307693
206,-11.4,2.857143,1.2307693
207,-11.4,3.4285715,1.2307693
208,-11.4,4.0,1.2307693
209,-11.4,0.0,0.61538464
210,-11.4,0.5714286,0.61538464
211,-11.4,1.1428572,0.61538464
212,-11.4,1.7142857,0.61538464
213,-11.4,2.2857144,0.61538464
214,-11.4,2.857143,0.61538464
215,-11.4,3.4285715,0.61538464
216,-11.4,4.0,0.61538464
217,-11.4,0.0,0.0
218,-11.4,0.5714286,0.0
219,-11.4,1.1428572,0.0
220,-11.4,1.7142857,0.0
221,-11.4,2.2857144,0.0
222,-11.4,2.857143,0.0
223,-11.4,3.4285715,0.0
224,-11.4,4.0,0.0
225,-10.8,0.0,8.0
226,-10.8,0.5714286,8.0
227,-10.8,1.1428572,8.0
228,-10.8,1.7142857,8.0
229,-10.8,2.2857144,8.0
230,-10.8,2.857143,8.0
231,-10.8,3.4285715,8.0
232,-10.8,4.0,8.0
233,-10.8,0.0,7.3846154
234,-10.8,0.5714286,7.3846154
235,-10.8,1.1428572,7.3846154
236,-10.8,1.7142857,7.3846154
237,-10.8,2.2857144,7.3846154
238,-10.8,2.857143,7.3846154
239,-10.8,3.4285715,7.3846154
240,-10.8,4.0,7.3846154
241,-10.8,0.0,6.769231
242,-10.8,0.5714286,6.769231
243,-10.8,1.1428572,6.769231
244,-10.8,1.7142857,6.769231
245,-10.8,2.2857144,6.769231
246,-10.8,2.857143,6.769231
