CaseID,E1_MPa,E2_MPa,G12_MPa,Final_U2_mm,Final_RF2_N
Case_0001,42125.363499,12971.493711,4219.399841,-0.200000002980232,-1873.07800292969
Case_0002,40615.096824,11095.679136,4063.020346,-0.200000002980232,-1781.10559082031
Case_0003,45060.587018,11250.468831,4777.027592,-0.200000002980232,-1990.134765625
Case_0004,46615.160838,12620.276836,4479.740747,-0.200000002980232,-2006.09216308594
Case_0005,49254.4232,11552.653604,4483.356928,-0.200000002980232,-2037.86706542969
Case_0006,43419.679312,12700.74934,4333.107845,-0.200000002980232,-1915.22338867188
Case_0007,41521.805908,13187.131565,4581.730583,-0.200000002980232,-1918.76928710938
Case_0008,49010.035249,12573.767988,4854.538647,-0.200000002980232,-2116.3740234375
Case_0009,41080.177933,11047.336383,4159.697864,-0.200000002980232,-1805.47668457031
Case_0010,42570.963952,12950.725191,4609.67873,-0.200000002980232,-1943.36572265625
Case_0011,48798.180257,10854.639924,4303.091028,-0.200000002980232,-1981.59008789062
Case_0012,44405.665091,12094.650629,4892.100508,-0.200000002980232,-2010.00024414062
Case_0013,46045.283089,12197.107719,4736.963468,-0.200000002980232,-2026.31616210938
Case_0014,43921.169777,11863.591572,4357.966843,-0.200000002980232,-1914.26696777344
Case_0015,46356.521056,11350.466395,4533.407404,-0.200000002980232,-1983.08959960938
Case_0016,49385.669792,12328.400129,4200.377356,-0.200000002980232,-2006.091796875
Case_0017,47271.333555,11822.088006,4804.677325,-0.200000002980232,-2055.20971679688
Case_0018,46211.351722,11776.328423,4352.410665,-0.200000002980232,-1959.60217285156
Case_0019,45692.548986,11986.660419,4935.418162,-0.200000002980232,-2043.34448242188
Case_0020,43885.697482,11658.469846,4096.37181,-0.200000002980232,-1866.19116210938
Case_0021,41740.592322,11700.042134,4454.327305,-0.200000002980232,-1877.91931152344
Case_0022,40909.505277,10847.871637,4083.882895,-0.200000002980232,-1785.83288574219
Case_0023,42015.945928,12773.369651,4401.653144,-0.200000002980232,-1896.08532714844
Case_0024,42664.776475,10919.68876,4514.5444,-0.200000002980232,-1891.37121582031
Case_0025,47129.29284,12360.367818,4565.738608,-0.200000002980232,-2025.89599609375
Case_0026,45377.408948,11168.663098,4377.448621,-0.200000002980232,-1933.73400878906
Case_0027,41775.64899,10980.277544,4713.563707,-0.200000002980232,-1900.65600585938
Case_0028,40684.501936,12911.295426,4277.762199,-0.200000002980232,-1848.91540527344
Case_0029,46899.367314,12743.453074,4187.861689,-0.200000002980232,-1963.6123046875
Case_0030,47826.822931,12168.36872,4537.762357,-0.200000002980232,-2031.78369140625
Case_0031,45196.694252,11517.236681,4431.302785,-0.200000002980232,-1946.12756347656
Case_0032,44245.047465,11904.155775,4688.664452,-0.200000002980232,-1973.03930664062
Case_0033,43136.979199,12034.544672,4130.513513,-0.200000002980232,-1863.53430175781
Case_0034,48641.90236,11748.892739,4248.975081,-0.200000002980232,-1989.00793457031
Case_0035,44992.298353,11388.067878,4147.327079,-0.200000002980232,-1892.04772949219
Case_0036,45828.670686,13083.233133,4752.038797,-0.200000002980232,-2041.33068847656
Case_0037,47623.923386,11450.554843,4820.132328,-0.200000002980232,-2056.65966796875
Case_0038,43298.089467,12132.574186,4245.549061,-0.200000002980232,-1887.88659667969
Case_0039,46688.136188,12668.087688,4648.254831,-0.200000002980232,-2035.97717285156
Case_0040,42339.354835,12393.547733,4639.564179,-0.200000002980232,-1932.11901855469
Case_0041,47495.107242,11573.498484,4590.265641,-0.200000002980232,-2020.75305175781
Case_0042,41352.564819,11308.602645,4907.913684,-0.200000002980232,-1923.5859375
Case_0043,47888.248389,12487.754354,4829.134486,-0.200000002980232,-2086.62036132812
Case_0044,48292.089833,12270.014409,4873.149096,-0.200000002980232,-2097.453125
Case_0045,48434.362556,12833.423077,4412.523281,-0.200000002980232,-2036.0771484375
Case_0046,43666.067823,13019.561836,4922.760085,-0.200000002980232,-2015.42626953125
Case_0047,48101.02169,11212.627633,4669.315453,-0.200000002980232,-2037.60632324219
Case_0048,42875.790777,12449.947865,4732.243972,-0.200000002980232,-1959.01794433594
Case_0049,44521.245093,13107.780338,4108.37395,-0.200000002980232,-1907.58190917969
Case_0050,44667.98631,11033.33294,4295.631236,-0.200000002980232,-1902.86108398438
