HistoryRegion,Variable,StepTime,Value
Assembly ASSEMBLY,ALLSE,0.0,0.0
Assembly ASSEMBLY,ALLSE,0.0024999999441206455,2.392972874076804e-06
Assembly ASSEMBLY,ALLSE,0.004999999888241291,2.773965235292053e-08
Assembly ASSEMBLY,ALLSE,0.008750000037252903,2.593528170002912e-10
Assembly ASSEMBLY,ALLSE,0.014375000260770321,2.5372787638283656e-12
Assembly ASSEMBLY,ALLSE,0.022812500596046448,1.3753572120165508e-13
Assembly ASSEMBLY,ALLSE,0.035468749701976776,0.019598213955760002
Assembly ASSEMBLY,ALLSE,0.05000000074505806,0.11878576129674911
Assembly ASSEMBLY,ALLSE,0.07179687172174454,0.42458492517471313
Assembly ASSEMBLY,ALLSE,0.10000000149011612,1.099748969078064
Assembly ASSEMBLY,ALLSE,0.15000000596046448,3.0710954666137695
Assembly ASSEMBLY,ALLSE,0.20000000298023224,6.031731128692627
Assembly ASSEMBLY,ALLSE,0.25,9.980544090270996
Assembly ASSEMBLY,ALLSE,0.30000001192092896,14.916424751281738
Assembly ASSEMBLY,ALLSE,0.3499999940395355,20.83827018737793
Assembly ASSEMBLY,ALLSE,0.4000000059604645,27.744993209838867
Assembly ASSEMBLY,ALLSE,0.44999998807907104,35.635528564453125
Assembly ASSEMBLY,ALLSE,0.5,44.508846282958984
Assembly ASSEMBLY,ALLSE,0.550000011920929,54.36393356323242
Assembly ASSEMBLY,ALLSE,0.6000000238418579,65.19981384277344
Assembly ASSEMBLY,ALLSE,0.6499999761581421,77.01554870605469
Assembly ASSEMBLY,ALLSE,0.699999988079071,89.81021118164062
Assembly ASSEMBLY,ALLSE,0.75,103.5828857421875
Assembly ASSEMBLY,ALLSE,0.800000011920929,118.33268737792969
Assembly ASSEMBLY,ALLSE,0.8500000238418579,134.05870056152344
Assembly ASSEMBLY,ALLSE,0.8999999761581421,150.75999450683594
Assembly ASSEMBLY,ALLSE,0.949999988079071,168.5719757080078
Assembly ASSEMBLY,ALLSE,1.0,187.60220336914062
Assembly ASSEMBLY,ALLSD,0.0,0.0
Assembly ASSEMBLY,ALLSD,0.0024999999441206455,1.623457421828789e-07
Assembly ASSEMBLY,ALLSD,0.004999999888241291,2.491240422841656e-07
Assembly ASSEMBLY,ALLSD,0.008750000037252903,2.497916682386858e-07
Assembly ASSEMBLY,ALLSD,0.014375000260770321,2.497917250821047e-07
Assembly ASSEMBLY,ALLSD,0.022812500596046448,2.497917250821047e-07
Assembly ASSEMBLY,ALLSD,0.035468749701976776,2.4979206614261784e-07
Assembly ASSEMBLY,ALLSD,0.05000000074505806,2.497961304470664e-07
Assembly ASSEMBLY,ALLSD,0.07179687172174454,2.498020421626279e-07
Assembly ASSEMBLY,ALLSD,0.10000000149011612,2.4980946022878925e-07
Assembly ASSEMBLY,ALLSD,0.15000000596046448,2.4982190893751977e-07
Assembly ASSEMBLY,ALLSD,0.20000000298023224,2.4983376079035224e-07
Assembly ASSEMBLY,ALLSD,0.25,2.498450157872867e-07
Assembly ASSEMBLY,ALLSD,0.30000001192092896,2.498557023500325e-07
Assembly ASSEMBLY,ALLSD,0.3499999940395355,2.4986584890029917e-07
Assembly ASSEMBLY,ALLSD,0.4000000059604645,2.498754838597961e-07
Assembly ASSEMBLY,ALLSD,0.44999998807907104,2.4988460722852324e-07
Assembly ASSEMBLY,ALLSD,0.5,2.4989330427160894e-07
