StepTime,RF2_N
0.0,-0.0
0.0024999999441206455,0.11069946736097336
0.004999999888241291,0.011897573247551918
0.008750000037252903,0.0011599749559536576
0.014375000260770321,0.0001142095570685342
0.022812500596046448,2.1470870706252754e-05
0.035468749701976776,9.886859893798828
0.05000000074505806,24.336997985839844
0.07179687172174454,46.00117492675781
0.10000000149011612,74.01268768310547
0.15000000596046448,123.61756134033203
0.20000000298023224,173.15309143066406
0.25,222.61941528320312
0.30000001192092896,272.0169982910156
0.3499999940395355,321.3463134765625
0.4000000059604645,370.6080017089844
0.44999998807907104,419.8027038574219
0.5,468.9312438964844
0.550000011920929,517.9943237304688
0.6000000238418579,566.9927368164062
0.6499999761581421,615.92724609375
0.699999988079071,664.7985229492188
0.75,713.6070556640625
0.800000011920929,762.3533935546875
0.8500000238418579,811.0376586914062
0.8999999761581421,860.6453857421875
0.949999988079071,914.1028442382812
1.0,968.5203857421875
