ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.428483e-06,2.491828e-06,-2.00063e-05,-3.482889e-05,-5.2100222e-05,3.857335e-06
2,1,-2.0178852e-05,0.00011177795,-3.681487e-05,-0.00014808134,9.729669e-07,1.1685863e-05
3,1,-5.3525746e-06,0.00012381688,-5.9004113e-05,6.2970255e-05,-2.0754007e-05,8.568292e-06
4,1,-9.052286e-06,0.00018400422,-7.1990486e-05,-0.0001484585,-7.5451385e-06,2.674356e-05
5,1,-3.567125e-05,0.0001925129,-6.700369e-05,0.00016271586,6.1268365e-06,3.7421698e-05
6,1,6.3785574e-06,0.00010121892,-5.10496e-05,0.00012203313,-1.5419744e-05,3.4157187e-05
7,1,1.5559188e-07,3.5894576e-05,-2.0744841e-05,9.165747e-05,-8.206374e-06,1.7321863e-05
8,1,2.3088936e-05,-6.153003e-06,-2.962539e-05,-2.157681e-05,6.2065997e-06,1.611518e-05
9,1,-1.7725459e-05,0.00010609457,-3.953987e-05,-0.00015391284,-3.2510884e-06,2.261657e-05
10,1,1.6344367e-06,0.000108572,-5.365764e-05,6.40182e-05,1.2675549e-05,3.0612682e-05
11,1,-3.1568125e-06,0.0001720986,-6.0611295e-05,-0.00018089547,1.6379036e-05,4.9254115e-05
12,1,-3.757207e-05,0.00018412546,-5.8355625e-05,0.00013396985,1.1380014e-05,6.2607556e-05
13,1,1.3359279e-05,9.5256764e-05,-5.369886e-05,8.047804e-05,7.105888e-06,5.941741e-05
14,1,3.470335e-07,4.6946658e-05,-4.726855e-05,7.04354e-05,-2.0083966e-05,2.6113425e-05
15,1,6.5711206e-06,-1.3210346e-05,1.7291221e-06,-3.573112e-05,5.0869803e-05,5.8520486e-06
16,1,-1.6181566e-05,9.150815e-05,-1.4523685e-05,-0.00015587707,6.271174e-05,2.3553739e-05
17,1,-2.6553516e-06,9.03051e-05,-1.9628842e-05,5.7839305e-05,6.0384973e-05,3.12042e-05
18,1,-9.587624e-06,0.000153136,-2.7019649e-05,-0.00019334191,5.031411e-05,3.674587e-05
19,1,-3.654111e-05,0.00017088372,-3.582012e-05,0.00013546736,3.877418e-05,4.2685635e-05
20,1,8.124921e-06,9.08034e-05,-4.414629e-05,7.880446e-05,2.495667e-05,4.095716e-05
21,1,5.5027e-06,5.083735e-05,-5.829807e-05,7.322552e-05,2.4493052e-05,1.8111297e-05
22,1,1.4336155e-05,-3.6336874e-05,4.7083493e-05,-2.3987353e-05,6.9927606e-05,2.9048822e-06
23,1,-2.9228246e-05,7.541618e-05,3.8430215e-05,-0.000160514,6.347383e-05,8.259148e-06
24,1,-9.356162e-06,7.628477e-05,2.4989617e-05,5.48944e-05,5.661429e-05,1.6190366e-05
25,1,-1.26188e-05,0.00014031047,1.1063564e-05,-0.00018282661,4.911672e-05,2.0832162e-05
26,1,-4.3143285e-05,0.00015962032,-4.02627e-06,0.00013529685,3.9823517e-05,2.5181218e-05
27,1,9.226473e-06,8.22589e-05,-2.3976074e-05,8.236471e-05,3.266474e-05,2.7250404e-05
28,1,-2.4926858e-06,4.7442954e-05,-4.6150257e-05,7.410689e-05,3.2970267e-05,1.4122997e-05
29,1,-4.4218577e-06,-5.1731146e-05,9.406746e-05,-4.0476094e-05,3.8298378e-05,-1.6360177e-06
30,1,-2.7316042e-05,6.0815953e-05,7.532935e-05,-0.00016135533,3.5697525e-05,1.1427268e-06
31,1,-1.1822287e-05,6.544185e-05,5.9506943e-05,6.253073e-05,3.591983e-05,5.5115083e-06
32,1,-1.6976746e-05,0.0001310752,4.2013646e-05,-0.00018352947,3.1684536e-05,9.405944e-06
33,1,-4.2840376e-05,0.0001501559,2.1025104e-05,0.00014359083,2.7212645e-05,1.3261249e-05
34,1,3.927415e-06,7.41004e-05,-5.0524625e-07,8.423007e-05,2.6505084e-05,1.7393291e-05
35,1,2.3743817e-06,3.8366015e-05,-2.8246552e-05,7.4149786e-05,3.405543e-05,9.212627e-06
36,1,1.0363131e-05,-6.207945e-05,0.00010833636,-2.5570273e-05,1.6482441e-05,1.9436452e-08
37,1,-3.3307086e-05,5.27091e-05,9.840873e-05,-0.000159341,1.8221834e-05,-3.7118147e-07
38,1,-1.402334e-05,5.811544e-05,8.003429e-05,5.721228e-05,1.686897e-05,1.0213333e-06
39,1,-1.7378003e-05,0.00012527498,5.954368e-05,-0.00017623615,1.5998567e-05,3.2055661e-06
40,1,-4.621459e-05,0.00014433573,3.865449e-05,0.00014274605,1.5201236e-05,5.9270014e-06
41,1,5.3905746e-06,6.7083296e-05,1.4969607e-05,8.6404085e-05,1.4458504e-05,8.286988e-06
42,1,-6.3783777e-06,3.2592558e-05,-1.1462745e-05,7.538385e-05,1.8387034e-05,4.8031766e-06
43,1,-5.7335833e-06,-6.408883e-05,0.00012093493,-4.117532e-05,-2.226372e-08,1.7972352e-08
44,1,-2.9668458e-05,4.939027e-05,0.00010358457,-0.00016294069,-7.1985964e-09,4.3625008e-08
45,1,-1.41884375e-05,5.6095254e-05,8.630813e-05,6.288343e-05,-6.0099197e-09,6.134272e-08
46,1,-1.9141355e-05,0.00012314157,6.642536e-05,-0.00017967321,-3.0084308e-09,6.68866e-08
47,1,-4.5078836e-05,0.00014196693,4.39102e-05,0.00014623172,4.1000163e-09,7.024807e-08
48,1,2.0870782e-06,6.528882e-05,2.1572943e-05,8.619476e-05,8.743969e-09,5.395835e-08
49,1,4.9990206e-07,2.931707e-05,-7.0791243e-06,7.454417e-05,2.0341167e-08,2.5415833e-08
50,1,1.036598e-05,-6.208368e-05,0.00010833466,-2.5565067e-05,-1.6501062e-05,1.8763055e-08
51,1,-3.3307933e-05,5.2712494e-05,9.840689e-05,-0.00015935014,-1.8242326e-05,4.5535808e-07
52,1,-1.4023269e-05,5.8111724e-05,8.0033424e-05,5.7223348e-05,-1.6880604e-05,-9.0282816e-07
