ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.2507941,-0.054629225,-0.24562387,-0.15670945,-0.23445998,0.01343046
2,1,-0.5609277,1.1862727,0.04357144,-0.6668567,0.0043534427,0.040910542
3,1,0.08410243,1.2921555,-0.1274757,0.28291583,-0.09341181,0.02996157
4,1,0.17264083,2.0162063,0.045097966,-0.6687898,-0.0340107,0.093600705
5,1,-1.0398085,2.0156317,0.014153422,0.73140216,0.027502686,0.1309837
6,1,0.56974906,1.0994471,-0.08140852,0.5487876,-0.06945645,0.119527064
7,1,0.08324334,0.36069065,-0.08241447,0.41232887,-0.036960505,0.06061379
8,1,0.8988606,-0.14776224,-0.35406217,-0.0969894,0.027897151,0.056412898
9,1,-0.49143472,1.1038823,-0.020556968,-0.69306964,-0.014674585,0.079159245
10,1,0.36757553,1.156592,-0.102405325,0.28771076,0.056983385,0.10716239
11,1,0.46007606,1.9600052,0.17813048,-0.8146897,0.073606335,0.17242207
12,1,-1.1258719,1.945633,0.08039462,0.60207087,0.051098228,0.21914421
13,1,0.8575154,1.0394053,-0.11839882,0.3618396,0.031859722,0.20797303
14,1,-0.0070281946,0.34024966,-0.41652295,0.31679016,-0.090426646,0.09136933
15,1,0.2533603,-0.13369665,-0.019756021,-0.16071849,0.22890367,0.020551205
16,1,-0.3463255,1.0754474,0.27783045,-0.7018495,0.28215787,0.082532324
17,1,0.26525256,1.103196,0.2745665,0.25995436,0.27167758,0.109297045
18,1,0.2477689,1.8818985,0.53066224,-0.870653,0.22634079,0.12869008
19,1,-1.0131775,1.9165707,0.3463167,0.60886073,0.17440861,0.14945517
20,1,0.6379173,1.0107422,-0.03290521,0.35430375,0.1122252,0.14338891
21,1,0.19647875,0.35100454,-0.52890474,0.3293496,0.1101844,0.06342538
22,1,0.77503306,-0.11104814,0.573514,-0.107762486,0.3146699,0.010261383
23,1,-0.74313194,1.1263448,0.90627146,-0.7227052,0.28561726,0.029000277
24,1,0.13564485,1.164197,0.82742316,0.24672791,0.25473696,0.056742962
25,1,0.26189798,1.9374843,1.013421,-0.82329786,0.22098427,0.07298777
26,1,-1.2011164,1.9320438,0.72068715,0.6081101,0.17916237,0.088190734
27,1,0.76623875,1.0314288,0.22791235,0.37036085,0.14693873,0.09542606
28,1,-0.1345907,0.33825633,-0.41351646,0.33329883,0.14834042,0.049478184
29,1,0.069774665,-0.1223124,1.0796577,-0.18197408,0.1723466,-0.0056745294
30,1,-0.50734526,1.1778117,1.3895417,-0.7264298,0.1606373,0.004051704
31,1,0.16654313,1.2269676,1.271837,0.28112096,0.16163057,0.019338658
32,1,0.18878704,1.9882246,1.401915,-0.8264426,0.1425618,0.032968864
33,1,-1.0867224,1.9675214,1.0456132,0.6454683,0.12243437,0.04645272
34,1,0.6078096,1.042592,0.5026944,0.3787655,0.11923961,0.060916472
35,1,0.15877451,0.35818157,-0.16791177,0.3335428,0.15323275,0.032292787
36,1,0.8125142,-0.08717826,1.321958,-0.114809275,0.07417156,9.001964e-05
37,1,-0.70132357,1.1831725,1.6543937,-0.7173575,0.08199919,-0.0012726769
38,1,0.14458793,1.2479503,1.5258518,0.257206,0.07590899,0.0035973089
39,1,0.24386515,2.0209186,1.6309187,-0.7936022,0.07198699,0.011243468
40,1,-1.1746444,1.9836062,1.2577498,0.6416758,0.06839539,0.020765934
41,1,0.733498,1.0556116,0.70356387,0.38858092,0.0650474,0.029026154
42,1,-0.1939868,0.33868915,-0.0015086595,0.3390854,0.08273296,0.016837306
43,1,0.10095786,-0.124106295,1.4035989,-0.18508178,-0.000100471996,6.281034e-05
44,1,-0.51258844,1.1920562,1.7345444,-0.7335301,-3.2805026e-05,0.00015248766
45,1,0.16353166,1.2603061,1.608044,0.2827327,-2.7467859e-05,0.00021474661
46,1,0.1888307,2.026554,1.7118944,-0.8090675,-1.397627e-05,0.00023389109
47,1,-1.1010543,1.9918795,1.3299901,0.6573738,1.7939898e-05,0.00024605816
48,1,0.6042146,1.0553262,0.7730239,0.3876333,3.9034574e-05,0.00018898757
49,1,0.14661026,0.36146042,0.08664646,0.3353438,9.129709e-05,8.907813e-05
50,1,0.81261754,-0.08723156,1.3219215,-0.11478582,-0.074255824,4.3549586e-05
51,1,-0.70135593,1.1832024,1.6543822,-0.7173986,-0.082092226,0.0015668963
52,1,0.14456518,1.2478937,1.5258144,0.2572558,-0.07596215,-0.0031824575
53,1,0.24395207,2.020901,1.630927,-0.7936676,-0.07200913,-0.010781997
54,1,-1.1747525,1.9835823,1.2577604,0.6416921,-0.068362154,-0.02029172
55,1,0.7335825,1.0555973,0.7035984,0.38855723,-0.06496876,-0.028650582
56,1,-0.19403441,0.33868474,-0.0015003281,0.33907714,-0.082563154,-0.016666891
