StepTime,U2_mm,RF2_N
0.0,0.0,-0.0
0.0024999999441206455,-0.0005000000237487257,-0.22422513365745544
0.004999999888241291,-0.0010000000474974513,-0.024401068687438965
0.008750000037252903,-0.0017500000540167093,-0.0023303839843720198
0.014375000260770321,-0.0028750000055879354,-0.00023192116350401193
0.022812500596046448,-0.004562499932944775,-4.3084346543764696e-05
0.035468749701976776,-0.007093749940395355,-20.058155059814453
0.05000000074505806,-0.009999999776482582,-49.37482452392578
0.07179687172174454,-0.014359375461935997,-93.32876586914062
0.10000000149011612,-0.019999999552965164,-150.16314697265625
0.15000000596046448,-0.029999999329447746,-250.81663513183594
0.20000000298023224,-0.03999999910593033,-351.3377990722656
0.25,-0.05000000074505806,-451.72686767578125
0.30000001192092896,-0.05999999865889549,-551.9848022460938
0.3499999940395355,-0.07000000029802322,-652.112548828125
0.4000000059604645,-0.07999999821186066,-752.111328125
0.44999998807907104,-0.09000000357627869,-851.982666015625
0.5,-0.10000000149011612,-951.7279663085938
0.550000011920929,-0.10999999940395355,-1051.3489990234375
0.6000000238418579,-0.11999999731779099,-1150.8472900390625
0.6499999761581421,-0.12999999523162842,-1250.2242431640625
0.699999988079071,-0.14000000059604645,-1349.4814453125
0.75,-0.15000000596046448,-1448.619873046875
0.800000011920929,-0.1599999964237213,-1547.6405029296875
0.8500000238418579,-0.17000000178813934,-1646.5438232421875
0.8999999761581421,-0.18000000715255737,-1745.5762939453125
0.949999988079071,-0.1899999976158142,-1852.476806640625
1.0,-0.20000000298023224,-1962.2867431640625
