ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
1,1,7.47915e-06,-8.708134e-07,-1.75891e-05,-2.8278731e-05,-5.3018277e-05,3.4111247e-06
2,1,-1.9326217e-05,9.554925e-05,-3.0919004e-05,-0.00014786751,8.816411e-09,1.1145723e-05
3,1,-5.0358344e-06,0.00010478475,-5.1005172e-05,6.679277e-05,-2.1107742e-05,7.2086596e-06
4,1,-7.160965e-06,0.0001605987,-6.4089836e-05,-0.00016364182,-1.0940668e-05,2.4401086e-05
5,1,-3.8221482e-05,0.00017649075,-5.9973503e-05,0.00016043166,6.5345944e-06,3.363156e-05
6,1,8.065649e-06,8.8224864e-05,-4.668873e-05,0.000121744124,-1.8257342e-05,2.9799929e-05
7,1,-5.8809223e-07,3.2758548e-05,-1.8738368e-05,8.7874665e-05,-8.614037e-06,1.5821579e-05
8,1,2.188341e-05,-8.048402e-06,-2.6820739e-05,-1.6381524e-05,6.230629e-06,1.5249579e-05
9,1,-1.7128215e-05,9.188336e-05,-3.48689e-05,-0.00015447837,-5.6952867e-06,2.1443288e-05
10,1,9.4483954e-07,9.4156654e-05,-4.854007e-05,7.020534e-05,9.982052e-06,2.9082647e-05
11,1,-9.0815826e-07,0.0001513117,-5.5648765e-05,-0.00019143499,1.3912142e-05,4.5860434e-05
12,1,-4.019048e-05,0.0001707542,-5.4132222e-05,0.00013574123,9.406365e-06,5.6977133e-05
13,1,1.5081662e-05,8.324936e-05,-5.0192797e-05,8.524969e-05,5.535735e-06,5.342155e-05
14,1,-3.3200882e-07,4.2635722e-05,-4.3882377e-05,6.918443e-05,-2.1194966e-05,2.359881e-05
15,1,6.286596e-06,-1.2140772e-05,3.2389286e-07,-2.9833835e-05,4.5752033e-05,6.6145453e-06
16,1,-1.576066e-05,8.111888e-05,-1.4758231e-05,-0.0001552864,5.8129805e-05,2.4917843e-05
