NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
1,-12.0,0.0,8.0,-0.029809976,0.050741125,0.00015477813
2,-12.0,0.5714286,8.0,-0.025737803,0.054022424,-5.896333e-05
3,-12.0,1.1428572,8.0,-0.011023992,0.051223155,-0.00017635713
4,-12.0,1.7142857,8.0,-0.0068592345,0.053353705,-8.384759e-05
5,-12.0,2.2857144,8.0,0.008037029,0.05202195,-0.00027255743
6,-12.0,2.857143,8.0,0.012416967,0.052765932,-0.00017399916
7,-12.0,3.4285715,8.0,0.027593287,0.05271115,-0.00024735846
8,-12.0,4.0,8.0,0.032016072,0.05211004,-0.000445051
9,-12.0,0.0,7.3846154,-0.02960823,0.05051082,-8.8729204e-05
10,-12.0,0.5714286,7.3846154,-0.025646616,0.05407881,-2.5646676e-05
11,-12.0,1.1428572,7.3846154,-0.010640437,0.05108633,-4.800087e-05
12,-12.0,1.7142857,7.3846154,-0.006819052,0.053334393,-0.00013831483
13,-12.0,2.2857144,7.3846154,0.008384723,0.051947434,-0.00011370522
14,-12.0,2.857143,7.3846154,0.012468425,0.052710854,-0.00018927657
15,-12.0,3.4285715,7.3846154,0.027814243,0.052651096,-0.00017012666
16,-12.0,4.0,7.3846154,0.032123245,0.052091267,-8.286764e-05
17,-12.0,0.0,6.769231,-0.029200865,0.050443117,8.742451e-05
18,-12.0,0.5714286,6.769231,-0.025591973,0.05406281,5.2401747e-06
19,-12.0,1.1428572,6.769231,-0.010405137,0.050996188,-2.4996794e-05
20,-12.0,1.7142857,6.769231,-0.006743493,0.053286683,-3.940014e-05
21,-12.0,2.2857144,6.769231,0.008614853,0.051870883,-9.164534e-05
22,-12.0,2.857143,6.769231,0.012481827,0.052600365,-9.76782e-05
23,-12.0,3.4285715,6.769231,0.028072799,0.052611317,-0.00018878591
24,-12.0,4.0,6.769231,0.032051455,0.051935323,-0.00035175643
25,-12.0,0.0,6.1538463,-0.029208766,0.050434858,6.0886163e-05
26,-12.0,0.5714286,6.1538463,-0.025509672,0.05395812,4.611563e-05
27,-12.0,1.1428572,6.1538463,-0.010297319,0.05099867,1.5501972e-05
28,-12.0,1.7142857,6.1538463,-0.0066969586,0.05318656,-9.802198e-06
