StepTime,RF2_N
0.0,-0.0
0.0024999999441206455,0.1109095960855484
0.004999999888241291,0.011942540295422077
0.008750000037252903,0.0011639053700491786
0.014375000260770321,0.00011455154890427366
0.022812500596046448,2.154795038222801e-05
0.035468749701976776,9.643217086791992
0.05000000074505806,23.737586975097656
0.07179687172174454,44.869163513183594
0.10000000149011612,72.19339752197266
0.15000000596046448,120.58509063720703
0.20000000298023224,168.913818359375
0.25,217.1797332763672
0.30000001192092896,265.3832092285156
0.3499999940395355,313.5246887207031
0.4000000059604645,361.6047058105469
0.44999998807907104,409.6239013671875
0.5,457.58294677734375
0.550000011920929,505.4825744628906
0.6000000238418579,553.3234252929688
0.6499999761581421,601.1062622070312
0.699999988079071,648.8316650390625
0.75,696.5001831054688
0.800000011920929,744.1122436523438
0.8500000238418579,791.668212890625
0.8999999761581421,839.2661743164062
0.949999988079071,890.6890258789062
1.0,943.5523071289062
