ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.22745718,-0.08367343,-0.24744943,-0.12615536,-0.23734999,0.013603826
2,1,-0.53678,1.1232153,0.03728279,-0.66494817,0.0014944775,0.040281318
3,1,0.06252818,1.2137675,-0.1349386,0.29908884,-0.0959774,0.021351816
4,1,0.24530932,1.9512386,0.032647528,-0.7379868,-0.046792403,0.081935234
5,1,-1.1573801,2.034946,0.010315898,0.7144437,0.026829172,0.11756035
6,1,0.6315,1.0742661,-0.08742629,0.55284256,-0.07919111,0.10659612
7,1,0.05380822,0.3690289,-0.0784991,0.39670515,-0.038405493,0.0575419
8,1,0.8773865,-0.17371666,-0.3716187,-0.068456054,0.017072165,0.056243982
9,1,-0.48096108,1.0416617,-0.05296969,-0.6966074,-0.032694127,0.07284038
10,1,0.32184547,1.0840033,-0.14838815,0.31704736,0.03583218,0.091990285
11,1,0.5586162,1.8905685,0.13657254,-0.8707844,0.053786557,0.15110046
12,1,-1.2650082,1.9701185,0.047366202,0.5987111,0.033246256,0.19431144
13,1,0.93578976,1.0151765,-0.13442563,0.38082576,0.016129734,0.1877585
14,1,-0.038622554,0.35660386,-0.41939315,0.30724967,-0.103890724,0.08410643
15,1,0.22065894,-0.15385415,-0.07901065,-0.13097802,0.1987377,0.01962574
16,1,-0.32445118,1.0097755,0.18405892,-0.69845515,0.25276107,0.07692109
17,1,0.24566987,1.030949,0.17976046,0.29824686,0.24831448,0.09785447
18,1,0.34650347,1.7970465,0.43908593,-0.9268005,0.2047711,0.113025166
19,1,-1.1339025,1.939081,0.27952015,0.6065855,0.15642396,0.1329621
20,1,0.7220642,0.9750309,-0.07644155,0.37303048,0.096755184,0.12944864
21,1,0.17887948,0.36625814,-0.5422167,0.31628233,0.09662878,0.056642734
22,1,0.7676062,-0.13033615,0.4497165,-0.076204784,0.28241795,0.011716126
23,1,-0.7168695,1.0526063,0.7575231,-0.71614206,0.26690948,0.02897588
24,1,0.107522696,1.0819314,0.6856345,0.28361627,0.23793346,0.051556062
25,1,0.36717737,1.8443676,0.88413,-0.8784449,0.20700899,0.0655138
26,1,-1.328087,1.9442108,0.625164,0.60419863,0.16948013,0.0800987
27,1,0.85176885,0.9894603,0.16289048,0.3848468,0.13874489,0.08638169
28,1,-0.16659391,0.35300568,-0.44264525,0.32056862,0.13683422,0.045481414
29,1,0.05453131,-0.14540109,0.9133211,-0.15039985,0.15863381,-0.003544017
30,1,-0.48631793,1.1005154,1.2027049,-0.7214071,0.147537,0.0065282546
31,1,0.14459944,1.1399599,1.0994862,0.31857052,0.15145358,0.019584764
32,1,0.28994128,1.8854277,1.2497721,-0.8832446,0.1356355,0.031099517
33,1,-1.2105083,1.9737581,0.93243676,0.63719505,0.11581959,0.043013494
34,1,0.6866138,0.99808,0.42361215,0.39147437,0.11439272,0.057249997
35,1,0.14206602,0.37263858,-0.2066297,0.31825727,0.14738679,0.030086262
36,1,0.79136133,-0.10696568,1.1341981,-0.08415637,0.06406449,0.0011019699
37,1,-0.67444617,1.1045809,1.4472375,-0.71047056,0.07668484,0.0008546814
38,1,0.11795155,1.1550788,1.3370667,0.29291317,0.07156355,0.0050195465
39,1,0.34569466,1.9142276,1.4656682,-0.8515748,0.06809773,0.011527395
40,1,-1.298462,1.9851567,1.1346918,0.63171333,0.066086516,0.020157607
