StepTime,U2_mm,RF2_N
0.0,0.0,-0.0
0.0024999999441206455,-0.0005000000237487257,-0.2283683717250824
0.004999999888241291,-0.0010000000474974513,-0.024886105209589005
0.008750000037252903,-0.0017500000540167093,-0.0023751473054289818
0.014375000260770321,-0.0028750000055879354,-0.00023637933190912008
0.022812500596046448,-0.004562499932944775,-4.3914318666793406e-05
0.035468749701976776,-0.007093749940395355,-20.11685562133789
0.05000000074505806,-0.009999999776482582,-49.519405364990234
0.07179687172174454,-0.014359375461935997,-93.602294921875
0.10000000149011612,-0.019999999552965164,-150.603759765625
0.15000000596046448,-0.029999999329447746,-251.55416870117188
0.20000000298023224,-0.03999999910593033,-352.37310791015625
0.25,-0.05000000074505806,-453.0609436035156
0.30000001192092896,-0.05999999865889549,-553.6185913085938
0.3499999940395355,-0.07000000029802322,-654.0469970703125
0.4000000059604645,-0.07999999821186066,-754.3475952148438
0.44999998807907104,-0.09000000357627869,-854.521728515625
0.5,-0.10000000149011612,-954.571044921875
0.550000011920929,-0.10999999940395355,-1054.4970703125
0.6000000238418579,-0.11999999731779099,-1154.3016357421875
0.6499999761581421,-0.12999999523162842,-1253.986083984375
0.699999988079071,-0.14000000059604645,-1353.5518798828125
0.75,-0.15000000596046448,-1453.000244140625
0.800000011920929,-0.1599999964237213,-1552.33203125
0.8500000238418579,-0.17000000178813934,-1651.5478515625
0.8999999761581421,-0.18000000715255737,-1750.6475830078125
0.949999988079071,-0.1899999976158142,-1856.482177734375
1.0,-0.20000000298023224,-1966.0084228515625
