HistoryRegion,Variable,StepTime,Value
Assembly ASSEMBLY,ALLSE,0.0,0.0
Assembly ASSEMBLY,ALLSE,0.0024999999441206455,2.487580559318303e-06
Assembly ASSEMBLY,ALLSE,0.004999999888241291,2.895714068529287e-08
Assembly ASSEMBLY,ALLSE,0.008750000037252903,2.702734147597141e-10
Assembly ASSEMBLY,ALLSE,0.014375000260770321,2.643533612498028e-12
Assembly ASSEMBLY,ALLSE,0.022812500596046448,1.4318712502573577e-13
Assembly ASSEMBLY,ALLSE,0.035468749701976776,0.019386639818549156
Assembly ASSEMBLY,ALLSE,0.05000000074505806,0.11750251054763794
Assembly ASSEMBLY,ALLSE,0.07179687172174454,0.4199928045272827
Assembly ASSEMBLY,ALLSE,0.10000000149011612,1.0878368616104126
Assembly ASSEMBLY,ALLSE,0.15000000596046448,3.0377397537231445
Assembly ASSEMBLY,ALLSE,0.20000000298023224,5.966053485870361
Assembly ASSEMBLY,ALLSE,0.25,9.871601104736328
Assembly ASSEMBLY,ALLSE,0.30000001192092896,14.753210067749023
Assembly ASSEMBLY,ALLSE,0.3499999940395355,20.60971450805664
Assembly ASSEMBLY,ALLSE,0.4000000059604645,27.43996238708496
Assembly ASSEMBLY,ALLSE,0.44999998807907104,35.242828369140625
Assembly ASSEMBLY,ALLSE,0.5,44.0172119140625
Assembly ASSEMBLY,ALLSE,0.550000011920929,53.762046813964844
Assembly ASSEMBLY,ALLSE,0.6000000238418579,64.47628784179688
Assembly ASSEMBLY,ALLSE,0.6499999761581421,76.15892791748047
Assembly ASSEMBLY,ALLSE,0.699999988079071,88.80897521972656
Assembly ASSEMBLY,ALLSE,0.75,102.42546081542969
Assembly ASSEMBLY,ALLSE,0.800000011920929,117.00743103027344
Assembly ASSEMBLY,ALLSE,0.8500000238418579,132.5539093017578
Assembly ASSEMBLY,ALLSE,0.8999999761581421,149.0639190673828
Assembly ASSEMBLY,ALLSE,0.949999988079071,166.7536163330078
Assembly ASSEMBLY,ALLSE,1.0,185.60568237304688
Assembly ASSEMBLY,ALLSD,0.0,0.0
Assembly ASSEMBLY,ALLSD,0.0024999999441206455,1.6862736629263964e-07
Assembly ASSEMBLY,ALLSD,0.004999999888241291,2.585830998214078e-07
Assembly ASSEMBLY,ALLSD,0.008750000037252903,2.5927946012416214e-07
Assembly ASSEMBLY,ALLSD,0.014375000260770321,2.5927948854587157e-07
Assembly ASSEMBLY,ALLSD,0.022812500596046448,2.59279516967581e-07
Assembly ASSEMBLY,ALLSD,0.035468749701976776,2.5927982960638474e-07
Assembly ASSEMBLY,ALLSD,0.05000000074505806,2.592840928627993e-07
Assembly ASSEMBLY,ALLSD,0.07179687172174454,2.592902603737457e-07
Assembly ASSEMBLY,ALLSD,0.10000000149011612,2.5929796265700134e-07
Assembly ASSEMBLY,ALLSD,0.15000000596046448,2.5931097979992046e-07
Assembly ASSEMBLY,ALLSD,0.20000000298023224,2.5932331482181326e-07
Assembly ASSEMBLY,ALLSD,0.25,2.59335052987808e-07
Assembly ASSEMBLY,ALLSD,0.30000001192092896,2.593461658761953e-07
Assembly ASSEMBLY,ALLSD,0.3499999940395355,2.593567387521034e-07
Assembly ASSEMBLY,ALLSD,0.4000000059604645,2.593668000372418e-07
Assembly ASSEMBLY,ALLSD,0.44999998807907104,2.5937632130990096e-07
Assembly ASSEMBLY,ALLSD,0.5,2.5938535941349983e-07
Assembly ASSEMBLY,ALLSD,0.550000011920929,2.5939397119145724e-07
Assembly ASSEMBLY,ALLSD,0.6000000238418579,2.5940212822206377e-07
Assembly ASSEMBLY,ALLSD,0.6499999761581421,2.5940985892702884e-07
Assembly ASSEMBLY,ALLSD,0.699999988079071,2.594172201497713e-07
Assembly ASSEMBLY,ALLSD,0.75,2.594242118902912e-07
Assembly ASSEMBLY,ALLSD,0.800000011920929,2.594308341485885e-07
Assembly ASSEMBLY,ALLSD,0.8500000238418579,2.594371153463726e-07
Assembly ASSEMBLY,ALLSD,0.8999999761581421,2.59443083905353e-07
Assembly ASSEMBLY,ALLSD,0.949999988079071,2.594495640551031e-07
Assembly ASSEMBLY,ALLSD,1.0,2.59456555795623e-07
Assembly ASSEMBLY,ALLWK,0.0,0.0
Assembly ASSEMBLY,ALLWK,0.0024999999441206455,5.709209290216677e-05
Assembly ASSEMBLY,ALLWK,0.004999999888241291,0.0001204057116410695
Assembly ASSEMBLY,ALLWK,0.008750000037252903,0.0001306286867475137
Assembly ASSEMBLY,ALLWK,0.014375000260770321,0.0001320976734859869
Assembly ASSEMBLY,ALLWK,0.022812500596046448,0.0001323341712122783
Assembly ASSEMBLY,ALLWK,0.035468749701976776,0.025592785328626633
Assembly ASSEMBLY,ALLWK,0.05000000074505806,0.12678296864032745
Assembly ASSEMBLY,ALLWK,0.07179687172174454,0.43874356150627136
Assembly ASSEMBLY,ALLWK,0.10000000149011612,1.1274809837341309
Assembly ASSEMBLY,ALLWK,0.15000000596046448,3.138270616531372
Assembly ASSEMBLY,ALLWK,0.20000000298023224,6.157907009124756
Assembly ASSEMBLY,ALLWK,0.25,10.185077667236328
Assembly ASSEMBLY,ALLWK,0.30000001192092896,15.218475341796875
Assembly ASSEMBLY,ALLWK,0.3499999940395355,21.256803512573242
Assembly ASSEMBLY,ALLWK,0.4000000059604645,28.298776626586914
Assembly ASSEMBLY,ALLWK,0.44999998807907104,36.34312057495117
Assembly ASSEMBLY,ALLWK,0.5,45.38858413696289
Assembly ASSEMBLY,ALLWK,0.550000011920929,55.43392562866211
Assembly ASSEMBLY,ALLWK,0.6000000238418579,66.47792053222656
Assembly ASSEMBLY,ALLWK,0.6499999761581421,78.51935577392578
Assembly ASSEMBLY,ALLWK,0.699999988079071,91.55704498291016
Assembly ASSEMBLY,ALLWK,0.75,105.58980560302734
Assembly ASSEMBLY,ALLWK,0.800000011920929,120.61647033691406
Assembly ASSEMBLY,ALLWK,0.8500000238418579,136.6358642578125
Assembly ASSEMBLY,ALLWK,0.8999999761581421,153.6468505859375
Assembly ASSEMBLY,ALLWK,0.949999988079071,171.6824951171875
Assembly ASSEMBLY,ALLWK,1.0,190.79495239257812
Assembly ASSEMBLY,ALLIE,0.0,0.0
Assembly ASSEMBLY,ALLIE,0.0024999999441206455,2.5195538455591304e-06
Assembly ASSEMBLY,ALLIE,0.004999999888241291,2.933844633901117e-08
Assembly ASSEMBLY,ALLIE,0.008750000037252903,2.737270410335668e-10
Assembly ASSEMBLY,ALLIE,0.014375000260770321,2.6778290956180895e-12
Assembly ASSEMBLY,ALLIE,0.022812500596046448,1.5878319709408673e-13
Assembly ASSEMBLY,ALLIE,0.035468749701976776,0.01963597536087036
Assembly ASSEMBLY,ALLIE,0.05000000074505806,0.11901209503412247
Assembly ASSEMBLY,ALLIE,0.07179687172174454,0.4253799319267273
Assembly ASSEMBLY,ALLIE,0.10000000149011612,1.1017630100250244
Assembly ASSEMBLY,ALLIE,0.15000000596046448,3.076504707336426
Assembly ASSEMBLY,ALLIE,0.20000000298023224,6.041977405548096
Assembly ASSEMBLY,ALLIE,0.25,9.996931076049805
Assembly ASSEMBLY,ALLIE,0.30000001192092896,14.940144538879395
Assembly ASSEMBLY,ALLIE,0.3499999940395355,20.870426177978516
Assembly ASSEMBLY,ALLIE,0.4000000059604645,27.786619186401367
Assembly ASSEMBLY,ALLIE,0.44999998807907104,35.6876106262207
Assembly ASSEMBLY,ALLIE,0.5,44.572330474853516
Assembly ASSEMBLY,ALLIE,0.550000011920929,54.439754486083984
Assembly ASSEMBLY,ALLIE,0.6000000238418579,65.28888702392578
Assembly ASSEMBLY,ALLIE,0.6499999761581421,77.1187973022461
Assembly ASSEMBLY,ALLIE,0.699999988079071,89.92855072021484
Assembly ASSEMBLY,ALLIE,0.75,103.7172622680664
Assembly ASSEMBLY,ALLIE,0.800000011920929,118.48404693603516
Assembly ASSEMBLY,ALLIE,0.8500000238418579,134.22802734375
Assembly ASSEMBLY,ALLIE,0.8999999761581421,150.94830322265625
Assembly ASSEMBLY,ALLIE,0.949999988079071,168.72874450683594
Assembly ASSEMBLY,ALLIE,1.0,187.61126708984375
