StepTime,U2_mm,RF2_N
0.0,0.0,-0.0
0.0024999999441206455,-0.0005000000237487257,-0.20714670419692993
0.004999999888241291,-0.0010000000474974513,-0.022481733933091164
0.008750000037252903,-0.0017500000540167093,-0.002149749081581831
0.014375000260770321,-0.0028750000055879354,-0.00021392834605649114
0.022812500596046448,-0.004562499932944775,-3.974034189013764e-05
0.035468749701976776,-0.007093749940395355,-19.103668212890625
0.05000000074505806,-0.009999999776482582,-47.02580261230469
0.07179687172174454,-0.014359375461935997,-88.8901596069336
0.10000000149011612,-0.019999999552965164,-143.02476501464844
0.15000000596046448,-0.029999999329447746,-238.90318298339844
0.20000000298023224,-0.03999999910593033,-334.6631774902344
0.25,-0.05000000074505806,-430.30523681640625
0.30000001192092896,-0.05999999865889549,-525.8303833007812
0.3499999940395355,-0.07000000029802322,-621.2398681640625
0.4000000059604645,-0.07999999821186066,-716.5350341796875
0.44999998807907104,-0.09000000357627869,-811.7176513671875
0.5,-0.10000000149011612,-906.789306640625
0.550000011920929,-0.10999999940395355,-1001.7518310546875
0.6000000238418579,-0.11999999731779099,-1096.60693359375
0.6499999761581421,-0.12999999523162842,-1191.3563232421875
0.699999988079071,-0.14000000059604645,-1286.0013427734375
0.75,-0.15000000596046448,-1380.543212890625
0.800000011920929,-0.1599999964237213,-1474.982666015625
0.8500000238418579,-0.17000000178813934,-1569.3203125
0.8999999761581421,-0.18000000715255737,-1663.5556640625
0.949999988079071,-0.1899999976158142,-1759.2130126953125
1.0,-0.20000000298023224,-1861.614990234375
