ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.26052073,-0.07379025,-0.2174983,-0.13737848,-0.2035031,0.00836595
2,1,-0.5055885,1.1298121,0.03484187,-0.67920506,0.006065389,0.024190752
3,1,0.054932225,1.2448255,-0.11066502,0.2615248,-0.07860347,0.006034744
4,1,0.18152118,1.9141314,0.038342062,-0.6601829,-0.036574848,0.06611279
5,1,-1.0361602,1.8832413,0.000950138,0.71920997,0.019765152,0.0974319
6,1,0.61786693,0.95813775,-0.0740513,0.47901034,-0.070718594,0.0879879
7,1,0.023247965,0.33014524,-0.06963449,0.35329136,-0.035539735,0.04888762
8,1,0.80751383,-0.15094538,-0.3336704,-0.08288439,0.012828125,0.041492358
9,1,-0.47080576,1.0542697,-0.05307169,-0.69599175,-0.028675046,0.04229618
10,1,0.27614525,1.1368701,-0.10452828,0.2845143,0.035662837,0.05598622
11,1,0.44096836,1.8617587,0.13646367,-0.7744214,0.046826646,0.110069335
12,1,-1.1170391,1.8214945,0.028034428,0.6181992,0.026868766,0.1515504
13,1,0.8841421,0.90085036,-0.11525467,0.32519725,0.011470261,0.1500352
14,1,-0.048877247,0.32049975,-0.35736355,0.27381235,-0.08699405,0.067729704
15,1,0.253262,-0.12743229,-0.10941563,-0.13893114,0.16431879,0.0080403425
16,1,-0.3256426,1.0229669,0.14376129,-0.6977525,0.2182428,0.04610998
17,1,0.21898559,1.0892266,0.18218473,0.26947382,0.21638677,0.05627671
18,1,0.26812336,1.7671434,0.40230465,-0.8173241,0.17797512,0.066451415
19,1,-1.004407,1.7942821,0.23743142,0.6298715,0.13998315,0.08747218
20,1,0.70605916,0.8567496,-0.0541151,0.320023,0.08952397,0.09232008
21,1,0.13390982,0.3297296,-0.4331407,0.28184056,0.09697144,0.04128661
22,1,0.73460263,-0.10038703,0.3357885,-0.08968067,0.257005,0.0018018822
23,1,-0.6640372,1.0536305,0.63444954,-0.7122846,0.23798718,0.0010691917
24,1,0.094530046,1.1387088,0.62671447,0.25951305,0.21492985,0.013624168
25,1,0.28275838,1.8044168,0.79715186,-0.770851,0.18800797,0.024556678
26,1,-1.1712109,1.7994088,0.5580407,0.63075626,0.15627162,0.039787132
27,1,0.8107181,0.86494374,0.18168667,0.33385664,0.13148391,0.054177076
28,1,-0.16034189,0.32148403,-0.29558766,0.28583834,0.13968734,0.032341782
29,1,0.08494863,-0.11392359,0.73632056,-0.15645778,0.14261642,-0.012118408
30,1,-0.47641796,1.0976255,1.0261831,-0.7140264,0.13670059,-0.014954637
31,1,0.12410774,1.1952068,0.99933684,0.29328868,0.13973224,-0.009036564
32,1,0.20902339,1.8422214,1.1314467,-0.77059627,0.12510425,-0.000491065
33,1,-1.075342,1.8291293,0.8486808,0.6640037,0.10901235,0.013612585
34,1,0.6724808,0.8722777,0.4431985,0.34154046,0.11037836,0.033828914
35,1,0.09121807,0.33944112,-0.03874142,0.2843736,0.14440817,0.020581806
36,1,0.75652736,-0.07542833,0.921817,-0.094891846,0.059204716,-0.0036103835
37,1,-0.63316697,1.1032637,1.243997,-0.7022834,0.06913375,-0.011349405
38,1,0.096104294,1.2108287,1.2140627,0.2717838,0.064981274,-0.010685925
39,1,0.2600919,1.871249,1.3312339,-0.7386305,0.06273145,-0.0052271793
40,1,-1.1459538,1.8401768,1.0423313,0.660333,0.06149049,0.004365525
41,1,0.77482486,0.88288426,0.63689804,0.34989458,0.06068363,0.015256118
42,1,-0.21591409,0.32000756,0.13516016,0.28976253,0.078872226,0.011126996
43,1,0.11480861,-0.11565879,0.9840778,-0.1588313,-0.00011481825,7.1215996e-05
44,1,-0.4797348,1.1096319,1.3082839,-0.7177698,-3.7362854e-05,0.00017721864
45,1,0.12231947,1.2237192,1.2832447,0.2958507,-3.053044e-05,0.00024387796
46,1,0.20973876,1.8737282,1.4020162,-0.75224674,-1.5683407e-05,0.00026687316
47,1,-1.0866864,1.8468866,1.1083413,0.67391664,2.0067822e-05,0.00027667524
48,1,0.6666361,0.88256615,0.704298,0.34892622,4.4133027e-05,0.00021327984
49,1,0.07804732,0.34204367,0.2239021,0.28552634,0.00010203436,9.927429e-05
50,1,0.7566491,-0.07549607,0.9217779,-0.09486192,-0.059301537,0.0037622708
51,1,-0.63320345,1.1033072,1.2439845,-0.7023408,-0.06923997,0.011689226
52,1,0.096066035,1.2107623,1.2140175,0.27185273,-0.06504006,0.011157892
53,1,0.26021317,1.8712298,1.3312426,-0.7387145,-0.06275723,0.005752299
54,1,-1.1461003,1.8401514,1.0423378,0.6603549,-0.061451785,-0.0038324343
55,1,0.7749365,0.88286793,0.6369361,0.34986722,-0.060596373,-0.014833772
56,1,-0.2159744,0.3200025,0.13516566,0.28975296,-0.07868542,-0.010938894
57,1,0.08481805,-0.11407251,0.7362577,-0.15644181,-0.14282413,0.01223469
58,1,-0.4764399,1.0977055,1.0261542,-0.71415347,-0.13676299,0.015274198
59,1,0.12407379,1.1950831,0.99925333,0.2934448,-0.13978851,0.009458996
60,1,0.2092282,1.842179,1.1314642,-0.77078205,-0.12513365,0.000978435
61,1,-1.0756284,1.8290863,0.84869736,0.6640576,-0.10897085,-0.01312418
62,1,0.67270815,0.8722456,0.443279,0.34147927,-0.1102977,-0.033434022
63,1,0.09111839,0.33942828,-0.03872933,0.28435743,-0.14421593,-0.020408709
64,1,0.7349726,-0.100591645,0.33568206,-0.08958855,-0.25705543,-0.0017022154
65,1,-0.66414315,1.0537522,0.63443327,-0.71246165,-0.23806764,-0.0008118766
66,1,0.094424725,1.1385165,0.62659407,0.2597115,-0.214972,-0.013267224
67,1,0.2831136,1.8043705,0.79718626,-0.7711048,-0.1880268,-0.024141965
68,1,-1.1716472,1.7993467,0.55807096,0.6308226,-0.15623936,-0.039370645
69,1,0.8110461,0.86490095,0.18180992,0.33377123,-0.13140804,-0.053834453
70,1,-0.16052884,0.32147315,-0.29555687,0.285815,-0.13953444,-0.03219852
71,1,0.2530238,-0.12773658,-0.1094747,-0.13888326,-0.1644131,-0.007971723
72,1,-0.32565957,1.0231583,0.14376365,-0.69799906,-0.2182551,-0.045921475
73,1,0.21890698,1.0889702,0.1820544,0.2697945,-0.21642108,-0.05601737
74,1,0.268536,1.7670913,0.40236092,-0.8177052,-0.17799963,-0.066123895
75,1,-1.0049936,1.7942215,0.23745447,0.62998706,-0.13995263,-0.08715273
76,1,0.7065047,0.8567058,-0.053947687,0.31990385,-0.089477785,-0.09206692
77,1,0.13369595,0.32969707,-0.43311316,0.2818129,-0.096849285,-0.04117137
78,1,0.8079601,-0.15143378,-0.33385605,-0.08272627,-0.012932133,-0.041482534
79,1,-0.47103518,1.054574,-0.05294603,-0.69637734,0.028676493,-0.042191386
80,1,0.2759073,1.1365201,-0.104687296,0.28496048,-0.035680383,-0.055814024
81,1,0.44170603,1.8617574,0.13656132,-0.77490497,-0.046846014,-0.10985514
82,1,-1.117965,1.8214036,0.028005319,0.6183731,-0.026868274,-0.15133183
83,1,0.8848319,0.90082496,-0.11509653,0.32505068,-0.011459502,-0.14988798
84,1,-0.04924562,0.32048815,-0.3573381,0.27377176,0.0870405,-0.067675926
85,1,0.26054516,-0.0742673,-0.21764545,-0.13725343,0.20362473,-0.0083548
86,1,-0.5056869,1.1302043,0.03497481,-0.6795822,-0.0061600343,-0.024177006
87,1,0.05474952,1.2445105,-0.11078093,0.26200268,0.07862631,-0.0059617395
88,1,0.18218756,1.914158,0.038422056,-0.6607185,0.036570054,-0.06603437
