NodeLabel,X_mm,Y_mm,Z_mm,U1_mm,U2_mm,U3_mm
80,-12.0,4.0,2.4615386,0.03414537,0.055872668,9.513675e-05
81,-12.0,0.0,1.8461539,-0.031288847,0.054772925,-0.00011421961
82,-12.0,0.5714286,1.8461539,-0.026630512,0.05795804,-0.00011357235
83,-12.0,1.1428572,1.8461539,-0.011339319,0.055271592,-9.110448e-05
84,-12.0,1.7142857,1.8461539,-0.006780096,0.05722662,-7.048469e-05
85,-12.0,2.2857144,1.8461539,0.008712177,0.056034077,-5.3353924e-05
86,-12.0,2.857143,1.8461539,0.013506978,0.056568556,-9.340453e-06
87,-12.0,3.4285715,1.8461539,0.029143311,0.056661166,-2.664586e-05
88,-12.0,4.0,1.8461539,0.03412698,0.055937864,-5.4216507e-05
89,-12.0,0.0,1.2307693,-0.031307925,0.054722987,-0.00013826713
90,-12.0,0.5714286,1.2307693,-0.026745109,0.058082923,-6.894567e-05
91,-12.0,1.1428572,1.2307693,-0.01148097,0.055218495,-4.749938e-05
92,-12.0,1.7142857,1.2307693,-0.0068598483,0.057342384,-4.160301e-05
93,-12.0,2.2857144,1.2307693,0.008586522,0.056021266,4.194675e-06
94,-12.0,2.857143,1.2307693,0.013407158,0.056672055,5.531899e-06
95,-12.0,3.4285715,1.2307693,0.029055571,0.05667829,7.984289e-05
96,-12.0,4.0,1.2307693,0.03396982,0.05601751,0.00021845053
97,-12.0,0.0,0.61538464,-0.03173599,0.05474675,3.3385928e-05
98,-12.0,0.5714286,0.61538464,-0.026833272,0.058116183,-4.0110266e-05
99,-12.0,1.1428572,0.61538464,-0.01173075,0.0552598,-2.6326836e-05
100,-12.0,1.7142857,0.61538464,-0.0069726114,0.05740217,5.4270564e-05
101,-12.0,2.2857144,0.61538464,0.008338454,0.056056477,2.4154948e-05
102,-12.0,2.857143,0.61538464,0.013352683,0.05678764,8.89683e-05
103,-12.0,3.4285715,0.61538464,0.028780121,0.05668323,6.6479675e-05
104,-12.0,4.0,0.61538464,0.033998933,0.056171864,-1.5593474e-05
105,-12.0,0.0,0.0,-0.03193561,0.054935213,-0.0002032399
106,-12.0,0.5714286,0.0,-0.026954459,0.05806536,-4.440925e-06
107,-12.0,1.1428572,0.0,-0.012122286,0.05537014,9.524275e-05
108,-12.0,1.7142857,0.0,-0.0070455316,0.05741903,6.585927e-06
109,-12.0,2.2857144,0.0,0.007978774,0.0561097,0.0001731099
110,-12.0,2.857143,0.0,0.013268018,0.056838084,7.240764e-05
111,-12.0,3.4285715,0.0,0.02854105,0.056723874,0.00013636019
112,-12.0,4.0,0.0,0.03385997,0.05618942,0.00029755975
113,-11.4,0.0,8.0,-0.0365749,0.047909502,4.3186933e-06
114,-11.4,0.5714286,8.0,-0.022201233,0.044639166,0.00014058607
115,-11.4,1.1428572,8.0,-0.016681632,0.04725595,0.00015704738
