ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
1,1,0.3086814,-0.045331024,-0.23464076,-0.17790551,-0.22104104,0.010718588
2,1,-0.58785504,1.2971275,0.041432068,-0.74785995,0.0058665955,0.03271119
3,1,0.08360239,1.4584603,-0.11159406,0.28150105,-0.08427023,0.024349546
4,1,0.13290735,2.1811602,0.047162298,-0.665424,-0.030881438,0.09275169
5,1,-1.0439019,2.0860748,0.0072584,0.81983936,0.02394093,0.12634355
6,1,0.6296314,1.0872393,-0.08261346,0.5344441,-0.07164673,0.11304273
7,1,0.057261657,0.36307788,-0.07770885,0.4080906,-0.03540796,0.05776204
8,1,0.91103995,-0.12848625,-0.3451946,-0.11821262,0.021389183,0.050640363
9,1,-0.53314984,1.2201236,-0.02639486,-0.7658252,-0.017724238,0.06802683
10,1,0.34880263,1.3435194,-0.071745396,0.2912695,0.05656117,0.09700237
11,1,0.4031617,2.128409,0.1781843,-0.80805486,0.07005302,0.16175866
12,1,-1.1184177,2.0157495,0.0610008,0.6914579,0.047293104,0.20600787
13,1,0.91453665,1.0228919,-0.12257294,0.35078332,0.028422853,0.19463745
14,1,-0.022930522,0.34580332,-0.3903545,0.31610945,-0.07997348,0.08610012
15,1,0.30328593,-0.10793586,-0.057838876,-0.1814647,0.19696952,0.019500373
16,1,-0.3934766,1.1892068,0.23843844,-0.7751065,0.25557157,0.07720415
17,1,0.25490046,1.2894484,0.2815192,0.26510832,0.2511879,0.098030165
18,1,0.20216729,2.0410807,0.5104974,-0.85664564,0.21257018,0.11337217
19,1,-1.0121874,1.9907744,0.3165615,0.70233727,0.16958223,0.13332468
20,1,0.7015789,0.9911054,-0.030577278,0.34638897,0.115891576,0.13139828
21,1,0.17174031,0.35891154,-0.46542,0.32818937,0.12585711,0.058753885
22,1,0.8043319,-0.085816644,0.46346384,-0.12924305,0.2755188,0.011812989
23,1,-0.7633738,1.2295554,0.8002832,-0.7937052,0.2566875,0.02628329
24,1,0.13149616,1.3461592,0.7878827,0.2523667,0.23334204,0.047820266
25,1,0.21653679,2.0912771,0.96287113,-0.8084673,0.2080061,0.061983127
26,1,-1.1897292,2.003261,0.68421113,0.7003621,0.17561129,0.07688952
27,1,0.8187917,1.0092691,0.24458596,0.36263332,0.15236868,0.08659813
28,1,-0.15380974,0.3464968,-0.30830878,0.3320817,0.16505636,0.04636499
29,1,0.13406561,-0.09885321,0.9024636,-0.2014193,0.1436144,-0.0045512966
30,1,-0.5400275,1.2762455,1.2261809,-0.7958393,0.14143176,0.0040787994
31,1,0.16394417,1.4022331,1.1914883,0.28493735,0.14659269,0.015075249
32,1,0.14628805,2.1359816,1.3285384,-0.81186694,0.13423952,0.026474915
33,1,-1.0821257,2.0357187,1.0044761,0.735619,0.120971374,0.040074054
34,1,0.6659891,1.0196514,0.5341179,0.36992425,0.124046385,0.0561595
35,1,0.12786798,0.3666464,-0.029257001,0.33174276,0.16409956,0.030451182
36,1,0.8434255,-0.06283761,1.1035329,-0.13436203,0.060279373,0.0008799107
37,1,-0.7180066,1.2786627,1.4569055,-0.78618526,0.07190827,-0.0011155163
38,1,0.14088905,1.4193214,1.4202757,0.2600887,0.06864105,0.0021676978
39,1,0.1988746,2.1646287,1.5436767,-0.7795796,0.06765874,0.0089036245
40,1,-1.1634051,2.0494761,1.2150337,0.72897565,0.067546345,0.01816585
41,1,0.78157675,1.0317056,0.74379057,0.37918344,0.06746883,0.027037881
42,1,-0.21225178,0.34626797,0.15718481,0.3370827,0.08867447,0.01614855
43,1,0.1631503,-0.10118677,1.171335,-0.20402601,-0.00022304103,0.0001408947
44,1,-0.54354143,1.2863826,1.5256112,-0.80131,-7.266884e-05,0.000375571
45,1,0.16158585,1.4305462,1.494402,0.285536,-6.653728e-05,0.00049587624
46,1,0.14665033,2.1686432,1.6198214,-0.7959115,-3.1577445e-05,0.00055720675
47,1,-1.0953443,2.0567045,1.2863628,0.74457145,3.88364e-05,0.0005533475
48,1,0.6605879,1.0314466,0.8166801,0.37751496,8.192943e-05,0.00044109803
49,1,0.11484548,0.3699701,0.25207844,0.33314088,0.00019346407,0.00019094847
50,1,0.8436688,-0.06298647,1.1034757,-0.13430211,-0.0604896,-0.00057926093
51,1,-0.71810424,1.2787601,1.4568837,-0.7863054,-0.072125554,0.0018343488
52,1,0.14084423,1.4191848,1.4201697,0.2602185,-0.068764135,-0.0012083773
53,1,0.19909115,2.1646187,1.5436783,-0.7797659,-0.06770893,-0.00781934
54,1,-1.1636935,2.0494375,1.2150284,0.7290284,-0.06747625,-0.017098472
55,1,0.7818039,1.031685,0.7438397,0.37912035,-0.06729977,-0.026174545
56,1,-0.21237446,0.346259,0.15715382,0.33706954,-0.088313736,-0.015781028
57,1,0.1338062,-0.099169955,0.9023604,-0.20138197,-0.14402185,0.0047921934
58,1,-0.54004914,1.2764263,1.2261249,-0.7960933,-0.14155656,-0.0034248002
59,1,0.16389716,1.4019778,1.1912887,0.28522146,-0.14671415,-0.014215777
60,1,0.1466481,2.1359544,1.3285443,-0.8122571,-0.13429487,-0.025491986
61,1,-1.0826639,2.0356512,1.0044746,0.7357347,-0.12089324,-0.03910288
62,1,0.66641515,1.019615,0.53423053,0.36979342,-0.12389271,-0.055374343
63,1,0.12767687,0.36662024,-0.029303208,0.33171874,-0.16373625,-0.030113485
64,1,0.8050623,-0.086262904,0.46326944,-0.12906753,-0.27565822,-0.011608069
65,1,-0.7636523,1.2298291,0.8002398,-0.79406947,-0.256849,-0.025759133
66,1,0.1313749,1.3457716,0.7875973,0.252744,-0.23342444,-0.047110595
67,1,0.21717514,2.0912633,0.96290106,-0.80901134,-0.20803942,-0.061166823
68,1,-1.1905825,2.0031652,0.6842278,0.7005212,-0.17554538,-0.07607944
69,1,0.8194577,1.0092179,0.2447725,0.3624502,-0.15222311,-0.08593519
70,1,-0.15418051,0.34647545,-0.30833238,0.33204484,-0.16475314,-0.04608506
71,1,0.30287293,-0.10854027,-0.05796938,-0.18137138,-0.19713822,-0.019360835
72,1,-0.3935051,1.1896057,0.23841406,-0.7755943,-0.25560504,-0.07683596
73,1,0.25480554,1.2889571,0.2812237,0.2657015,-0.25124085,-0.09752551
74,1,0.20288831,2.041065,0.5105691,-0.85742193,-0.21260095,-0.11275024
75,1,-1.0132823,1.9906955,0.31658107,0.7026021,-0.1695155,-0.13272396
76,1,0.70243126,0.9910433,-0.030306557,0.34613985,-0.1157973,-0.13092154
77,1,0.17132793,0.35886097,-0.46542126,0.32814676,-0.12561595,-0.05854086
78,1,0.9118883,-0.12936449,-0.3455253,-0.11793911,-0.021598151,-0.050612755
79,1,-0.53366935,1.2206869,-0.026200498,-0.766528,0.017756177,-0.06782934
80,1,0.3485162,1.342905,-0.072055206,0.29206273,-0.056586906,-0.09668115
81,1,0.40435836,2.1284726,0.17833386,-0.80898076,-0.07007207,-0.16136794
82,1,-1.1200581,2.015626,0.060956746,0.6918284,-0.047283918,-0.20561132
83,1,0.9157917,1.022851,-0.12231396,0.3504926,-0.02840008,-0.19437045
84,1,-0.023614638,0.3457915,-0.39033034,0.31604862,0.080079526,-0.08600017
85,1,0.30878398,-0.04624554,-0.23493856,-0.17768236,0.22127292,-0.010702786
86,1,-0.588171,1.2979205,0.041691422,-0.7485731,-0.0060455147,-0.032678608
87,1,0.08341209,1.4578573,-0.11182759,0.28242004,0.08433466,-0.024222441
88,1,0.13400687,2.1813016,0.047309157,-0.66649175,0.030865071,-0.09261008
89,1,-1.0455154,2.0858896,0.007180306,0.82034206,-0.02396539,-0.12620969
90,1,0.6310186,1.0870919,-0.08249348,0.5341093,0.0716482,-0.11293753
91,1,0.05666488,0.36297092,-0.077703,0.40804595,0.03539964,-0.057760626
92,1,0.65638936,1.249336,0.59876955,-0.92321557,0.04485541,0.038799062
93,1,-0.4598777,-0.9030914,-0.3585075,0.055749904,-0.20145585,0.009287095
94,1,-0.5405032,1.0777596,0.3479221,-1.9350982,0.028997956,0.056474417
95,1,-0.50298893,0.18793577,0.025428394,1.4060824,0.07295655,0.03281521
96,1,-1.1080891,0.23003018,-0.05428515,-0.6055545,-0.051226635,0.02551684
97,1,-0.787016,1.0571408,0.23766026,2.2949905,0.09400731,0.035231087
98,1,1.7055953,-0.10375742,-0.2068495,0.78618646,-0.21386331,-0.007980665
99,1,1.6563253,1.3884826,0.98613554,-0.9061256,-0.036182262,0.010251551
100,1,0.63360804,-1.061363,-0.121063,0.18793377,0.31972134,0.08045379
101,1,0.36314404,1.1280184,0.746692,-2.2200692,0.32711208,0.07024475
102,1,0.0067263064,0.15836246,0.26649785,1.2988961,0.30501586,0.0515107
103,1,-0.60239846,0.15125084,0.12930046,-1.019415,0.2683017,0.06235624
