HistoryRegion,Variable,StepTime,Value
Assembly ASSEMBLY,ALLSE,0.0,0.0
Assembly ASSEMBLY,ALLSE,0.0024999999441206455,2.3267818960448494e-06
Assembly ASSEMBLY,ALLSE,0.004999999888241291,2.6877213343823314e-08
Assembly ASSEMBLY,ALLSE,0.008750000037252903,2.515977148842552e-10
Assembly ASSEMBLY,ALLSE,0.014375000260770321,2.4622990278666546e-12
Assembly ASSEMBLY,ALLSE,0.022812500596046448,1.3468634302467308e-13
Assembly ASSEMBLY,ALLSE,0.035468749701976776,0.01999519020318985
Assembly ASSEMBLY,ALLSE,0.05000000074505806,0.1211908757686615
Assembly ASSEMBLY,ALLSE,0.07179687172174454,0.433175653219223
Assembly ASSEMBLY,ALLSE,0.10000000149011612,1.1219801902770996
Assembly ASSEMBLY,ALLSE,0.15000000596046448,3.1330726146698
Assembly ASSEMBLY,ALLSE,0.20000000298023224,6.153264045715332
Assembly ASSEMBLY,ALLSE,0.25,10.181330680847168
Assembly ASSEMBLY,ALLSE,0.30000001192092896,15.21605110168457
Assembly ASSEMBLY,ALLSE,0.3499999940395355,21.25621223449707
Assembly ASSEMBLY,ALLSE,0.4000000059604645,28.300621032714844
Assembly ASSEMBLY,ALLSE,0.44999998807907104,36.348106384277344
Assembly ASSEMBLY,ALLSE,0.5,45.39753341674805
Assembly ASSEMBLY,ALLSE,0.550000011920929,55.44778823852539
Assembly ASSEMBLY,ALLSE,0.6000000238418579,66.497802734375
Assembly ASSEMBLY,ALLSE,0.6499999761581421,78.5465316772461
Assembly ASSEMBLY,ALLSE,0.699999988079071,91.59294891357422
Assembly ASSEMBLY,ALLSE,0.75,105.63605499267578
Assembly ASSEMBLY,ALLSE,0.800000011920929,120.67484283447266
Assembly ASSEMBLY,ALLSE,0.8500000238418579,136.70831298828125
Assembly ASSEMBLY,ALLSE,0.8999999761581421,153.73541259765625
Assembly ASSEMBLY,ALLSE,0.949999988079071,171.98666381835938
Assembly ASSEMBLY,ALLSE,1.0,191.4408721923828
Assembly ASSEMBLY,ALLSD,0.0,0.0
Assembly ASSEMBLY,ALLSD,0.0024999999441206455,1.581468040967593e-07
Assembly ASSEMBLY,ALLSD,0.004999999888241291,2.413515005628142e-07
Assembly ASSEMBLY,ALLSD,0.008750000037252903,2.419911311335454e-07
Assembly ASSEMBLY,ALLSD,0.014375000260770321,2.4199115955525485e-07
Assembly ASSEMBLY,ALLSD,0.022812500596046448,2.419911879769643e-07
Assembly ASSEMBLY,ALLSD,0.035468749701976776,2.41991500615768e-07
Assembly ASSEMBLY,ALLSD,0.05000000074505806,2.4199545123337884e-07
Assembly ASSEMBLY,ALLSD,0.07179687172174454,2.420011355752649e-07
Assembly ASSEMBLY,ALLSD,0.10000000149011612,2.420082978460414e-07
Assembly ASSEMBLY,ALLSD,0.15000000596046448,2.420203770725493e-07
Assembly ASSEMBLY,ALLSD,0.20000000298023224,2.4203183102144976e-07
Assembly ASSEMBLY,ALLSD,0.25,2.420426881144522e-07
Assembly ASSEMBLY,ALLSD,0.30000001192092896,2.4205303361668484e-07
Assembly ASSEMBLY,ALLSD,0.3499999940395355,2.4206283910643833e-07
Assembly ASSEMBLY,ALLSD,0.4000000059604645,2.420721330054221e-07
Assembly ASSEMBLY,ALLSD,0.44999998807907104,2.4208100057876436e-07
Assembly ASSEMBLY,ALLSD,0.5,2.4208938498304633e-07
Assembly ASSEMBLY,ALLSD,0.550000011920929,2.4209734306168684e-07
Assembly ASSEMBLY,ALLSD,0.6000000238418579,2.4210493165810476e-07
Assembly ASSEMBLY,ALLSD,0.6499999761581421,2.421120939288812e-07
Assembly ASSEMBLY,ALLSD,0.699999988079071,2.421189151391445e-07
Assembly ASSEMBLY,ALLSD,0.75,2.4212539528889465e-07
Assembly ASSEMBLY,ALLSD,0.800000011920929,2.421315343781316e-07
Assembly ASSEMBLY,ALLSD,0.8500000238418579,2.4213736082856485e-07
Assembly ASSEMBLY,ALLSD,0.8999999761581421,2.421429030619038e-07
Assembly ASSEMBLY,ALLSD,0.949999988079071,2.42148928464303e-07
Assembly ASSEMBLY,ALLSD,1.0,2.4215540861405316e-07
Assembly ASSEMBLY,ALLWK,0.0,0.0
Assembly ASSEMBLY,ALLWK,0.0024999999441206455,5.613753091893159e-05
Assembly ASSEMBLY,ALLWK,0.004999999888241291,0.00011836598423542455
Assembly ASSEMBLY,ALLWK,0.008750000037252903,0.00012837616668548435
Assembly ASSEMBLY,ALLWK,0.014375000260770321,0.00012981727195437998
Assembly ASSEMBLY,ALLWK,0.022812500596046448,0.0001300492585869506
Assembly ASSEMBLY,ALLWK,0.035468749701976776,0.02642103098332882
Assembly ASSEMBLY,ALLWK,0.05000000074505806,0.13091182708740234
Assembly ASSEMBLY,ALLWK,0.07179687172174454,0.45304635167121887
Assembly ASSEMBLY,ALLWK,0.10000000149011612,1.1642409563064575
