StepTime,RF2_N
0.0,-0.0
0.0024999999441206455,0.11131840944290161
0.004999999888241291,0.011925922706723213
0.008750000037252903,0.0011637425050139427
0.014375000260770321,0.00011464281851658598
0.022812500596046448,2.1535610358114354e-05
0.035468749701976776,10.386553764343262
0.05000000074505806,25.567285537719727
0.07179687172174454,48.32740020751953
0.10000000149011612,77.75701141357422
0.15000000596046448,129.87620544433594
0.20000000298023224,181.92620849609375
0.25,233.90725708007812
0.30000001192092896,285.8198547363281
0.3499999940395355,337.6645812988281
0.4000000059604645,389.4422302246094
0.44999998807907104,441.153564453125
0.5,492.79949951171875
0.550000011920929,544.3809814453125
0.6000000238418579,595.8988647460938
0.6499999761581421,647.3539428710938
0.699999988079071,698.7470703125
0.75,750.078857421875
0.800000011920929,801.3497314453125
0.8500000238418579,852.559814453125
0.8999999761581421,903.7091674804688
0.949999988079071,958.367431640625
1.0,1014.9410400390625
