ElementLabel,IntegrationPoint,S11,S22,S33,S12,S13,S23
66,1,0.1200908,1.1130569,0.6955604,0.2697583,-0.21957357,-0.011016868
67,1,0.32567656,1.8906718,0.8590534,-0.8583246,-0.19225222,-0.021753896
68,1,-1.2786906,1.9507648,0.6353837,0.61570925,-0.15843862,-0.037849672
69,1,0.81345564,1.0096985,0.25416222,0.3891822,-0.13553885,-0.05382779
70,1,-0.12633087,0.34754694,-0.24578595,0.32620412,-0.14397842,-0.032058276
71,1,0.25955695,-0.15089515,-0.006205871,-0.13324778,-0.19753243,-0.0057795723
72,1,-0.35730097,1.0336031,0.22313501,-0.70025486,-0.2478095,-0.04238834
73,1,0.2426003,1.0581487,0.22403261,0.27827203,-0.23683216,-0.054358933
74,1,0.31017223,1.8427035,0.44318187,-0.90795255,-0.19522934,-0.06480635
75,1,-1.1121861,1.9446361,0.29990298,0.61200273,-0.15115692,-0.08504129
76,1,0.7071468,0.9968855,0.0018996934,0.37468693,-0.10080772,-0.09056036
77,1,0.1570995,0.35987446,-0.3977382,0.32367828,-0.10685934,-0.04127353
78,1,0.8232069,-0.16837627,-0.28497553,-0.08008889,-0.037762895,-0.040549
79,1,-0.4788828,1.0520643,-0.03136689,-0.69696325,0.009087852,-0.044842623
80,1,0.3287091,1.096782,-0.09364752,0.29615912,-0.051086918,-0.05793394
81,1,0.49757108,1.9193237,0.14491542,-0.86916107,-0.061790578,-0.105881535
82,1,-1.2182037,1.9752485,0.06572513,0.6013756,-0.039387338,-0.14850652
83,1,0.8929238,1.0329893,-0.08863062,0.37588978,-0.024776557,-0.15026762
84,1,-0.013218263,0.35298243,-0.3439168,0.31245473,0.075004615,-0.068248525
85,1,0.27551544,-0.091750465,-0.20589878,-0.12969199,0.19336668,-0.009431643
86,1,-0.53631264,1.1276426,0.033633225,-0.67618823,-0.0037285115,-0.02749155
87,1,0.09570757,1.2089604,-0.11106374,0.28072894,0.077018134,-0.008841784
88,1,0.23965394,1.9670116,0.036298018,-0.75817037,0.03364292,-0.06210104
89,1,-1.1437514,2.0297976,0.010958666,0.70065117,-0.023284145,-0.09477891
90,1,0.6353961,1.0824165,-0.06614335,0.5296522,0.06289225,-0.09059272
91,1,0.052858163,0.36565226,-0.06929505,0.39324206,0.034264103,-0.04923839
92,1,0.51749116,1.2313432,0.5441245,-0.8154067,0.056203824,0.034887042
93,1,-0.3676331,-0.95217454,-0.32285854,0.22002959,-0.17886797,0.0009904233
94,1,-0.22511627,1.0006087,0.3057612,-1.9748375,0.015770674,0.040831685
95,1,-0.43056086,0.2301338,0.038132325,1.1465384,0.06288624,0.024527647
96,1,-1.2564887,0.18251988,-0.06761406,-0.73687327,-0.05442573,0.016428905
97,1,-0.89075786,1.064649,0.21095131,2.1544054,0.08123108,0.025104927
98,1,1.7091831,-0.08196601,-0.18051793,0.80689555,-0.19254063,-0.008496753
99,1,1.4308538,1.3572922,0.8893012,-0.80896914,0.006272877,0.0035463898
100,1,0.63139915,-1.0987236,-0.102099776,0.33438247,0.31131718,0.05747494
101,1,0.6100283,1.0496738,0.6681532,-2.2128906,0.30216116,0.04398355
102,1,0.047805212,0.21150607,0.2637155,1.0827686,0.27069518,0.028201295
103,1,-0.7885077,0.11028253,0.08751394,-1.0652691,0.2379107,0.039981145
104,1,-0.6413063,1.0546628,0.3412683,1.8606656,0.090075515,0.031067083
105,1,2.0159206,-0.10425073,-0.033213142,0.64155215,0.014835144,0.013411688
106,1,1.181933,1.2686675,1.3145505,-0.8075459,0.8044872,0.033645805
