HistoryRegion,Variable,StepTime,Value
Assembly ASSEMBLY,ALLSE,0.0,0.0
Assembly ASSEMBLY,ALLSE,0.0024999999441206455,2.4024864160310244e-06
Assembly ASSEMBLY,ALLSE,0.004999999888241291,2.789529851554562e-08
Assembly ASSEMBLY,ALLSE,0.008750000037252903,2.6060895108592774e-10
Assembly ASSEMBLY,ALLSE,0.014375000260770321,2.5495423914417836e-12
Assembly ASSEMBLY,ALLSE,0.022812500596046448,1.3854570973543395e-13
Assembly ASSEMBLY,ALLSE,0.035468749701976776,0.019335860386490822
Assembly ASSEMBLY,ALLSE,0.05000000074505806,0.11719448119401932
Assembly ASSEMBLY,ALLSE,0.07179687172174454,0.41889044642448425
Assembly ASSEMBLY,ALLSE,0.10000000149011612,1.0849772691726685
Assembly ASSEMBLY,ALLSE,0.15000000596046448,3.029733419418335
Assembly ASSEMBLY,ALLSE,0.20000000298023224,5.950288772583008
Assembly ASSEMBLY,ALLSE,0.25,9.845450401306152
Assembly ASSEMBLY,ALLSE,0.30000001192092896,14.714030265808105
Assembly ASSEMBLY,ALLSE,0.3499999940395355,20.554847717285156
Assembly ASSEMBLY,ALLSE,0.4000000059604645,27.36673355102539
Assembly ASSEMBLY,ALLSE,0.44999998807907104,35.1485481262207
Assembly ASSEMBLY,ALLSE,0.5,43.89917755126953
Assembly ASSEMBLY,ALLSE,0.550000011920929,53.61753845214844
Assembly ASSEMBLY,ALLSE,0.6000000238418579,64.30257415771484
Assembly ASSEMBLY,ALLSE,0.6499999761581421,75.95325469970703
Assembly ASSEMBLY,ALLSE,0.699999988079071,88.56858825683594
Assembly ASSEMBLY,ALLSE,0.75,102.1475830078125
Assembly ASSEMBLY,ALLSE,0.800000011920929,116.68926239013672
Assembly ASSEMBLY,ALLSE,0.8500000238418579,132.19265747070312
Assembly ASSEMBLY,ALLSE,0.8999999761581421,148.65675354003906
Assembly ASSEMBLY,ALLSE,0.949999988079071,166.32907104492188
Assembly ASSEMBLY,ALLSE,1.0,185.15249633789062
Assembly ASSEMBLY,ALLSD,0.0,0.0
Assembly ASSEMBLY,ALLSD,0.0024999999441206455,1.6263018665085838e-07
Assembly ASSEMBLY,ALLSD,0.004999999888241291,2.494281261533615e-07
Assembly ASSEMBLY,ALLSD,0.008750000037252903,2.500988216525002e-07
Assembly ASSEMBLY,ALLSD,0.014375000260770321,2.5009887849591905e-07
Assembly ASSEMBLY,ALLSD,0.022812500596046448,2.5009887849591905e-07
Assembly ASSEMBLY,ALLSD,0.035468749701976776,2.500992195564322e-07
