StepTime,RF2_N
0.0,-0.0
0.0024999999441206455,0.11113312095403671
0.004999999888241291,0.011933368630707264
0.008750000037252903,0.0011638158466666937
0.014375000260770321,0.00011460127279860899
0.022812500596046448,2.1541241949307732e-05
0.035468749701976776,10.03640365600586
0.05000000074505806,24.705400466918945
0.07179687172174454,46.69837951660156
0.10000000149011612,75.13623046875
0.15000000596046448,125.49951171875
0.20000000298023224,175.79652404785156
0.25,226.0274200439453
0.30000001192092896,276.1926574707031
0.3499999940395355,326.29278564453125
0.4000000059604645,376.3283996582031
0.44999998807907104,426.3002624511719
0.5,476.2091369628906
0.550000011920929,526.0558471679688
0.6000000238418579,575.8412475585938
0.6499999761581421,625.5660400390625
0.699999988079071,675.23095703125
0.75,724.8365478515625
0.800000011920929,774.38330078125
0.8500000238418579,823.8714599609375
0.8999999761581421,873.3010864257812
0.949999988079071,926.5441284179688
1.0,981.3978271484375
