StepTime,U2_mm,RF2_N
0.0,0.0,-0.0
0.0024999999441206455,-0.0005000000237487257,-0.22423407435417175
0.004999999888241291,-0.0010000000474974513,-0.024400467053055763
0.008750000037252903,-0.0017500000540167093,-0.0023303767666220665
0.014375000260770321,-0.0028750000055879354,-0.00023191912623587996
0.022812500596046448,-0.004562499932944775,-4.308417919673957e-05
0.035468749701976776,-0.007093749940395355,-20.072778701782227
0.05000000074505806,-0.009999999776482582,-49.41080093383789
0.07179687172174454,-0.014359375461935997,-93.39672088623047
0.10000000149011612,-0.019999999552965164,-150.27239990234375
0.15000000596046448,-0.029999999329447746,-250.99891662597656
0.20000000298023224,-0.03999999910593033,-351.5928649902344
0.25,-0.05000000074505806,-452.05462646484375
0.30000001192092896,-0.05999999865889549,-552.3850708007812
0.3499999940395355,-0.07000000029802322,-652.5852661132812
0.4000000059604645,-0.07999999821186066,-752.6564331054688
0.44999998807907104,-0.09000000357627869,-852.60009765625
0.5,-0.10000000149011612,-952.4178466796875
0.550000011920929,-0.10999999940395355,-1052.1112060546875
0.6000000238418579,-0.11999999731779099,-1151.6820068359375
0.6499999761581421,-0.12999999523162842,-1251.1314697265625
0.699999988079071,-0.14000000059604645,-1350.4613037109375
0.75,-0.15000000596046448,-1449.67236328125
0.800000011920929,-0.1599999964237213,-1548.765869140625
0.8500000238418579,-0.17000000178813934,-1647.7421875
0.8999999761581421,-0.18000000715255737,-1746.6014404296875
0.949999988079071,-0.1899999976158142,-1853.0859375
1.0,-0.20000000298023224,-1962.793701171875
