Parameter,RF_Minus10_N,RF_Baseline_N,RF_Plus10_N,RF_Normalized_Sensitivity,Abs_RF_Sensitivity,RF_Sensitivity_Rank,U2_Field_Normalized_Sensitivity
E1,1861.614990234375,1962.793701171875,2055.467529296875,0.49381791613342096,0.49381791613342096,1,0.18087428860821564
G12,1887.1029052734375,1962.793701171875,2029.8797607421875,0.3637082577336219,0.3637082577336219,2,0.08702936985568209
E2,1937.038330078125,1962.793701171875,1985.6148681640625,0.12374336145702716,0.12374336145702716,3,0.09515796224000425
E3,1959.482666015625,1962.793701171875,1966.0084228515625,0.01662364422720873,0.01662364422720873,4,0.014067953122562545
G13,1962.2867431640625,1962.793701171875,1963.2427978515625,0.0024354436406872327,0.0024354436406872327,5,0.0036395371705315043
G23,1962.42578125,1962.793701171875,1963.1129150390625,0.0017503973765868785,0.0017503973765868785,6,0.004080051726484026
